Nektar Therapeutics Quarterly Net Income (Millions of US $),Nektar Therapeutics Quarterly Net Income (Millions of US $).1
2024-12-31,$7
2024-09-30,$-37
2024-06-30,$-52
2024-03-31,$-37
2023-12-31,$-42
2023-09-30,$-46
2023-06-30,$-51
2023-03-31,$-137
2022-12-31,$-60
2022-09-30,$-59
2022-06-30,$-159
2022-03-31,$-90
2021-12-31,$-146
2021-09-30,$-130
2021-06-30,$-126
2021-03-31,$-123
2020-12-31,$-117
2020-09-30,$-109
2020-06-30,$-80
2020-03-31,$-139
2019-12-31,$-112
2019-09-30,$-99
2019-06-30,$-110
2019-03-31,$-120
2018-12-31,$-98
2018-09-30,$-96
2018-06-30,$971
2018-03-31,$-96
2017-12-31,$-34
2017-09-30,$61
2017-06-30,$-60
2017-03-31,$-64
2016-12-31,$-42
2016-09-30,$-43
2016-06-30,$-49
2016-03-31,$-19
2015-12-31,$-54
2015-09-30,$-8
2015-06-30,$-53
2015-03-31,$34
2014-12-31,$-46
2014-09-30,$71
2014-06-30,$-33
2014-03-31,$-46
2013-12-31,$-48
2013-09-30,$-17
2013-06-30,$-43
2013-03-31,$-55
2012-12-31,$-53
2012-09-30,$-44
2012-06-30,$-34
2012-03-31,$-41
2011-12-31,$-37
2011-09-30,$-24
2011-06-30,$-36
2011-03-31,$-36
2010-12-31,$-23
2010-09-30,$-9
2010-06-30,$-1
2010-03-31,$-6
2009-12-31,$-8
2009-09-30,$-31
2009-06-30,$-32
2009-03-31,$-32
