Coherus BioSciences Quarterly Net Income (Millions of US $),Coherus BioSciences Quarterly Net Income (Millions of US $).1
2024-12-31,$-51
2024-09-30,$-11
2024-06-30,$-13
2024-03-31,$103
2023-12-31,$-80
2023-09-30,$-40
2023-06-30,$-43
2023-03-31,$-76
2022-12-31,$-59
2022-09-30,$-87
2022-06-30,$-50
2022-03-31,$-96
2021-12-31,$-46
2021-09-30,$-39
2021-06-30,$-30
2021-03-31,$-173
2020-12-31,$10
2020-09-30,$28
2020-06-30,$59
2020-03-31,$36
2019-12-31,$39
2019-09-30,$47
2019-06-30,$24
2019-03-31,$-20
2018-12-31,$-63
2018-09-30,$-59
2018-06-30,$-44
2018-03-31,$-44
2017-12-31,$-49
2017-09-30,$-59
2017-06-30,$-55
2017-03-31,$-75
2016-12-31,$-76
2016-09-30,$84
2016-06-30,$-70
2016-03-31,$-65
2015-12-31,$-52
2015-09-30,$-71
2015-06-30,$-59
2015-03-31,$-41
2014-12-31,$-29
2014-09-30,$-8
2014-06-30,$-25
2014-03-31,$-25
2013-12-31,
2013-09-30,$-21
2012-12-31,
