Emergent Biosolutions Quarterly Net Income (Millions of US $),Emergent Biosolutions Quarterly Net Income (Millions of US $).1
2024-12-31,$-31
2024-09-30,$115
2024-06-30,$-283
2024-03-31,$9
2023-12-31,$-50
2023-09-30,$-263
2023-06-30,$-261
2023-03-31,$-186
2022-12-31,$-64
2022-09-30,$-87
2022-06-30,$-56
2022-03-31,$-4
2021-12-31,$178
2021-09-30,$-33
2021-06-30,$5
2021-03-31,$70
2020-12-31,$185
2020-09-30,$40
2020-06-30,$93
2020-03-31,$-13
2019-12-31,$47
2019-09-30,$43
2019-06-30,$-10
2019-03-31,$-26
2018-12-31,$-3
2018-09-30,$21
2018-06-30,$50
2018-03-31,$-5
2017-12-31,$34
2017-09-30,$34
2017-06-30,$5
2017-03-31,$10
2016-12-31,$37
2016-09-30,$21
2016-06-30,$-11
2016-03-31,$4
2015-12-31,$33
2015-09-30,$37
2015-06-30,$14
2015-03-31,$-22
2014-12-31,$30
2014-09-30,$22
2014-06-30,$5
2014-03-31,$-20
2013-12-31,$15
2013-09-30,$13
2013-06-30,$10
2013-03-31,$-8
2012-12-31,$16
2012-09-30,$7
2012-06-30,$8
2012-03-31,$-7
2011-12-31,$29
2011-09-30,$2
2011-06-30,$14
2011-03-31,$-21
2010-12-31,$26
2010-09-30,$13
2010-06-30,$10
2010-03-31,$3
2009-12-31,$4
2009-09-30,$1
2009-06-30,$15
2009-03-31,$11
