Sangamo Therapeutics Quarterly Net Income (Millions of US $),Sangamo Therapeutics Quarterly Net Income (Millions of US $).1
2024-09-30,$11
2024-06-30,$-36
2024-03-31,$-49
2023-12-31,$-60
2023-09-30,$-104
2023-06-30,$-115
2023-03-31,$21
2022-12-31,$-52
2022-09-30,$-53
2022-06-30,$-43
2022-03-31,$-44
2021-12-31,$-37
2021-09-30,$-48
2021-06-30,$-47
2021-03-31,$-46
2020-12-31,$-41
2020-09-30,$-2
2020-06-30,$-36
2020-03-31,$-43
2019-12-31,$5
2019-09-30,$-27
2019-06-30,$-30
2019-03-31,$-42
2018-12-31,$-19
2018-09-30,$-13
2018-06-30,$-17
2018-03-31,$-20
2017-12-31,$-13
2017-09-30,$-12
2017-06-30,$-12
2017-03-31,$-17
2016-12-31,$-10
2016-09-30,$-19
2016-06-30,$-27
2016-03-31,$-16
2015-12-31,$-14
2015-09-30,$-9
2015-06-30,$-12
2015-03-31,$-5
2014-12-31,$-4
2014-09-30,$-8
2014-06-30,$-7
2014-03-31,$-8
2013-12-31,$-8
2013-09-30,$-6
2013-06-30,$-5
2013-03-31,$-7
2012-12-31,$-3
2012-09-30,$-6
2012-06-30,$-6
2012-03-31,$-7
2011-12-31,$-6
2011-09-30,$-10
2011-06-30,$-10
2011-03-31,$-10
2010-12-31,$-8
2010-09-30,$-9
2010-06-30,$-4
2010-03-31,$-4
2009-12-31,$-2
2009-09-30,$-5
2009-06-30,$-5
2009-03-31,$-7
