Lexicon Pharmaceuticals Quarterly Net Income (Millions of US $),Lexicon Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-12-31,$-34
2024-09-30,$-65
2024-06-30,$-53
2024-03-31,$-48
2023-12-31,$-50
2023-09-30,$-51
2023-06-30,$-45
2023-03-31,$-32
2022-12-31,$-30
2022-09-30,$-23
2022-06-30,$-25
2022-03-31,$-23
2021-12-31,$-26
2021-09-30,$-23
2021-06-30,$-18
2021-03-31,$-21
2020-12-31,$-5
2020-09-30,$83
2020-06-30,$-69
2020-03-31,$-67
2019-12-31,$-51
2019-09-30,$226
2019-06-30,$-23
2019-03-31,$-22
2018-12-31,$-17
2018-09-30,$-27
2018-06-30,$-35
2018-03-31,$-42
2017-12-31,$-22
2017-09-30,$-31
2017-06-30,$-35
2017-03-31,$-35
2016-12-31,$-22
2016-09-30,$-36
2016-06-30,$-38
2016-03-31,$-35
2015-12-31,$87
2015-09-30,$-35
2015-06-30,$-28
2015-03-31,$-28
2014-12-31,$-3
2014-09-30,$-40
2014-06-30,$-26
2014-03-31,$-31
2013-12-31,$-17
2013-09-30,$-32
2013-06-30,$-29
2013-03-31,$-26
2012-12-31,$-25
2012-09-30,$-30
2012-06-30,$-26
2012-03-31,$-30
2011-12-31,$-34
2011-09-30,$-26
2011-06-30,$-27
2011-03-31,$-30
2010-12-31,$-23
2010-09-30,$-28
2010-06-30,$-25
2010-03-31,$-26
2009-12-31,$-22
2009-09-30,$-19
2009-06-30,$-20
2009-03-31,$-22
