Sutro Biopharma Quarterly Net Income (Millions of US $),Sutro Biopharma Quarterly Net Income (Millions of US $).1
2024-12-31,$-72
2024-09-30,$-49
2024-06-30,$-48
2024-03-31,$-58
2023-12-31,$31
2023-09-30,$-49
2023-06-30,$-39
2023-03-31,$-50
2022-12-31,$-35
2022-09-30,$-19
2022-06-30,$-26
2022-03-31,$-39
2021-12-31,$-38
2021-09-30,$-31
2021-06-30,$-6
2021-03-31,$-30
2020-12-31,$-60
2020-09-30,$17
2020-06-30,$30
2020-03-31,$-20
2019-12-31,$-15
2019-09-30,$-13
2019-06-30,$-14
2019-03-31,$-14
2018-12-31,$-1
2018-09-30,$-10
2018-06-30,$-12
2018-03-31,$-12
2017-12-31,
2017-09-30,$-1
2016-12-31,
