Beyond Air Quarterly Net Income (Millions of US $),Beyond Air Quarterly Net Income (Millions of US $).1
2024-12-31,$-13
2024-09-30,$-13
2024-06-30,$-12
2024-03-31,$-14
2023-12-31,$-16
2023-09-30,$-16
2023-06-30,$-14
2023-03-31,$-20
2022-12-31,$-13
2022-09-30,$-12
2022-06-30,$-11
2022-03-31,$-20
2021-12-31,$-8
2021-09-30,$-9
2021-06-30,$-7
2021-03-31,$-5
2020-12-31,$-6
2020-09-30,$-5
2020-06-30,$-7
2020-03-31,$-5
2019-12-31,$-5
2019-09-30,$-4
2019-06-30,$-6
2019-03-31,$-0
2018-12-31,$-2
2018-09-30,$-2
2018-06-30,$-2
2018-03-31,
2017-12-31,
2017-09-30,$-7
2017-06-30,$-3
2017-03-31,$-6
2016-12-31,$-1
2016-09-30,$-1
2016-06-30,$-1
2016-03-31,$-1
2015-12-31,
