BP Prudhoe Bay Royalty Trust Quarterly Net Income (Millions of US $),BP Prudhoe Bay Royalty Trust Quarterly Net Income (Millions of US $).1
2024-09-30,$-0
2024-06-30,$-494
2024-03-31,$-0
2023-12-31,$445
2023-09-30,$-0
2023-06-30,$-445
2023-03-31,$6
2022-12-31,$15
2022-09-30,$30
2022-06-30,$23
2022-03-31,$12
2021-12-31,$2
2021-09-30,$1
2021-06-30,
2021-03-31,$-0
2020-12-31,$0
2020-09-30,$-0
2020-06-30,$0
2020-03-31,$9
2019-12-31,$7
2019-09-30,$12
2019-06-30,$7
2019-03-31,$21
2018-12-31,$30
2018-09-30,$30
2018-06-30,$27
2018-03-31,$26
2017-12-31,$14
2017-09-30,$18
2017-06-30,$24
2017-03-31,$21
2016-12-31,$15
2016-09-30,$15
2016-06-30,$2
2016-03-31,$13
2015-12-31,$15
2015-09-30,$32
2015-06-30,$21
2015-03-31,$58
2014-12-31,$43
2014-09-30,$65
2014-06-30,$64
2014-03-31,$54
2013-12-31,$46
2013-09-30,$46
2013-06-30,$52
2013-03-31,$50
2012-12-31,$39
2012-09-30,$49
2012-06-30,$57
2012-03-31,$54
2011-12-31,$42
2011-09-30,$56
2011-06-30,$51
2011-03-31,$52
2010-12-31,$73
2010-09-30,$45
2010-06-30,$47
2010-03-31,$50
2009-12-31,$37
2009-09-30,$35
2009-06-30,$21
2009-03-31,$35
