Inovio Pharmaceuticals Quarterly Net Income (Millions of US $),Inovio Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-12-31,$-19
2024-09-30,$-25
2024-06-30,$-32
2024-03-31,$-30
2023-12-31,$-25
2023-09-30,$-34
2023-06-30,$-36
2023-03-31,$-41
2022-12-31,$-54
2022-09-30,$-38
2022-06-30,$-108
2022-03-31,$-79
2021-12-31,$-107
2021-09-30,$-60
2021-06-30,$-82
2021-03-31,$-54
2020-12-31,$-24
2020-09-30,$19
2020-06-30,$-129
2020-03-31,$-33
2019-12-31,$-38
2019-09-30,$-23
2019-06-30,$-29
2019-03-31,$-29
2018-12-31,$-33
2018-09-30,$-25
2018-06-30,$-7
2018-03-31,$-32
2017-12-31,$-22
2017-09-30,$-34
2017-06-30,$-9
2017-03-31,$-23
2016-12-31,$-26
2016-09-30,$-21
2016-06-30,$-19
2016-03-31,$-8
2015-12-31,$-18
2015-09-30,$6
2015-06-30,$-6
2015-03-31,$-11
2014-12-31,$-7
2014-09-30,$-7
2014-06-30,$-11
2014-03-31,$-11
2013-12-31,$-15
2013-09-30,$-31
2013-06-30,$-11
2013-03-31,$-9
2012-12-31,$-1
2012-09-30,$-7
2012-06-30,$-4
2012-03-31,$-8
2011-12-31,$-5
2011-09-30,$-5
2011-06-30,$-3
2011-03-31,$-2
2010-12-31,$-6
2010-09-30,$-1
2010-06-30,$-8
2010-03-31,$-2
2009-12-31,$-7
2009-09-30,$-3
2009-06-30,$-11
2009-03-31,$-3
