Prothena Quarterly Net Income (Millions of US $),Prothena Quarterly Net Income (Millions of US $).1
2024-12-31,$-58
2024-09-30,$-59
2024-06-30,$67
2024-03-31,$-72
2023-12-31,$-67
2023-09-30,$22
2023-06-30,$-55
2023-03-31,$-47
2022-12-31,$6
2022-09-30,$-46
2022-06-30,$-41
2022-03-31,$-36
2021-12-31,$-33
2021-09-30,$109
2021-06-30,$28
2021-03-31,$-37
2020-12-31,$-31
2020-09-30,$-31
2020-06-30,$-26
2020-03-31,$-24
2019-12-31,$-22
2019-09-30,$-19
2019-06-30,$-16
2019-03-31,$-21
2018-12-31,$-22
2018-09-30,$-25
2018-06-30,$-60
2018-03-31,$-49
2017-12-31,$-48
2017-09-30,$-52
2017-06-30,$-18
2017-03-31,$-35
2016-12-31,$-49
2016-09-30,$-43
2016-06-30,$-40
2016-03-31,$-28
2015-12-31,$-24
2015-09-30,$-23
2015-06-30,$-18
2015-03-31,$-15
2014-12-31,$-13
2014-09-30,$-13
2014-06-30,$1
2014-03-31,$18
2013-12-31,$-11
2013-09-30,$-10
2013-06-30,$-11
2013-03-31,$-9
2012-12-31,$-12
2012-09-30,$-9
2012-06-30,$-10
2012-03-31,$-11
2011-12-31,
2010-12-31,
