Red River Bancshares Quarterly Net Income (Millions of US $),Red River Bancshares Quarterly Net Income (Millions of US $).1
2024-12-31,$9
2024-09-30,$9
2024-06-30,$8
2024-03-31,$8
2023-12-31,$8
2023-09-30,$8
2023-06-30,$9
2023-03-31,$10
2022-12-31,$10
2022-09-30,$10
2022-06-30,$9
2022-03-31,$7
2021-12-31,$9
2021-09-30,$8
2021-06-30,$8
2021-03-31,$8
2020-12-31,$7
2020-09-30,$7
2020-06-30,$7
2020-03-31,$7
2019-12-31,$7
2019-09-30,$7
2019-06-30,$6
2019-03-31,$6
2018-12-31,$6
2018-09-30,$6
2018-06-30,$6
2018-03-31,$5
2011-06-30,
2011-03-31,
2010-12-31,
2010-09-30,
2010-06-30,
2010-03-31,
2009-12-31,
2009-09-30,
2009-06-30,
2009-03-31,
