Personalis Quarterly Net Income (Millions of US $),Personalis Quarterly Net Income (Millions of US $).1
2024-12-31,$-16
2024-09-30,$-39
2024-06-30,$-13
2024-03-31,$-13
2023-12-31,$-27
2023-09-30,$-29
2023-06-30,$-24
2023-03-31,$-29
2022-12-31,$-31
2022-09-30,$-26
2022-06-30,$-28
2022-03-31,$-28
2021-12-31,$-20
2021-09-30,$-18
2021-06-30,$-15
2021-03-31,$-12
2020-12-31,$-13
2020-09-30,$-10
2020-06-30,$-9
2020-03-31,$-9
2019-12-31,$-7
2019-09-30,$-7
2019-06-30,$-6
2019-03-31,$-6
2018-12-31,
2018-09-30,$-4
2018-06-30,$-7
2017-12-31,
