Super League Enterprise Quarterly Net Income (Millions of US $),Super League Enterprise Quarterly Net Income (Millions of US $).1
2024-09-30,$-5
2024-06-30,$-4
2024-03-31,$-5
2023-12-31,$-7
2023-09-30,$-9
2023-06-30,$-7
2023-03-31,$-7
2022-12-31,$-16
2022-09-30,$-53
2022-06-30,$-9
2022-03-31,$-8
2021-12-31,$-7
2021-09-30,$-7
2021-06-30,$-2
2021-03-31,$-5
2020-12-31,$-5
2020-09-30,$-4
2020-06-30,$-5
2020-03-31,$-5
2019-12-31,$-5
2019-09-30,$-4
2019-06-30,$-6
2019-03-31,$-16
2018-12-31,$-7
2018-09-30,$-5
2018-06-30,$-4
2018-03-31,$-4
2009-12-31,
