Ironwood Pharmaceuticals Quarterly Net Income (Millions of US $),Ironwood Pharmaceuticals Quarterly Net Income (Millions of US $).1
2024-12-31,$3
2024-09-30,$4
2024-06-30,$-1
2024-03-31,$-4
2023-12-31,$-1
2023-09-30,$15
2023-06-30,"$-1,062"
2023-03-31,$46
2022-12-31,$49
2022-09-30,$50
2022-06-30,$37
2022-03-31,$39
2021-12-31,$41
2021-09-30,$56
2021-06-30,$391
2021-03-31,$40
2020-12-31,$43
2020-09-30,$34
2020-06-30,$25
2020-03-31,$3
2019-12-31,$10
2019-09-30,$21
2019-06-30,$12
2019-03-31,$-22
2018-12-31,$-15
2018-09-30,$-174
2018-06-30,$-49
2018-03-31,$-43
2017-12-31,$12
2017-09-30,$-32
2017-06-30,$-44
2017-03-31,$-53
2016-12-31,$-14
2016-09-30,$-33
2016-06-30,$-22
2016-03-31,$-13
2015-12-31,$-14
2015-09-30,$-47
2015-06-30,$-48
2015-03-31,$-33
2014-12-31,$-38
2014-09-30,$-42
2014-06-30,$-60
2014-03-31,$-50
2013-12-31,$-52
2013-09-30,$-62
2013-06-30,$-65
2013-03-31,$-94
2012-12-31,$-44
2012-09-30,$48
2012-06-30,$-41
2012-03-31,$-36
2011-12-31,$-7
2011-09-30,$-21
2011-06-30,$-19
2011-03-31,$-18
2010-12-31,$-12
2010-09-30,$-8
2010-06-30,$-17
2010-03-31,$-16
2009-12-31,$-24
2009-09-30,$-11
2009-06-30,$-18
2009-03-31,$-18
