Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data,Johnson & Johnson Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,163.02,,19.3
2024-12-31,144.62,$8.45,17.12
2024-09-30,160.77,$8.69,18.49
2024-06-30,143.9,$8.48,16.96
2024-03-31,154.48,$7.59,20.35
2023-12-31,151.91,$7.27,20.9
2023-09-30,149.76,$6.28,23.85
2023-06-30,158.02,$5.63,28.09
2023-03-31,146.87,$6.23,23.57
2022-12-31,166.21,$6.65,24.98
2022-09-30,152.72,$6.80,22.47
2022-06-30,164.84,$7.60,21.68
2022-03-31,163.55,$7.52,21.76
2021-12-31,156.85,$7.65,20.49
2021-09-30,147.1,$8.72,16.86
2021-06-30,149.16,$8.77,17.01
2021-03-31,147.89,$8.14,18.17
2020-12-31,140.74,$7.67,18.34
2020-09-30,132.21,$6.91,19.13
2020-06-30,124.06,$6.65,18.66
2020-03-31,114.87,$8.50,13.51
2019-12-31,126.96,$8.64,14.7
2019-09-30,111.83,$9.35,11.96
2019-06-30,120.39,$8.74,13.77
2019-03-31,120.01,$8.04,14.92
2018-12-31,110.06,$7.97,13.82
2018-09-30,117.09,$7.48,15.66
2018-06-30,102.15,$7.70,13.27
2018-03-31,107.09,$7.36,14.54
2017-12-31,116.02,$7.14,16.24
2017-09-30,107.31,$7.11,15.09
2017-06-30,108.49,$6.62,16.38
2017-03-31,101.48,$6.33,16.03
2016-12-31,93.26,$6.03,15.47
2016-09-30,94.97,$5.86,16.19
2016-06-30,96.87,$6.19,15.64
2016-03-31,85.8,$6.66,12.89
2015-12-31,80.87,$6.96,11.62
2015-09-30,72.96,$6.13,11.91
2015-06-30,75.58,$6.80,11.11
2015-03-31,77.45,$6.56,11.81
2014-12-31,79.94,$6.85,11.67
2014-09-30,80.96,$6.76,11.99
2014-06-30,78.93,$5.83,13.55
2014-03-31,73.6,$5.49,13.4
2013-12-31,68.13,$4.96,13.73
2013-09-30,64.04,$4.94,12.98
2013-06-30,62.96,$4.71,13.36
2013-03-31,59.34,$4.64,12.79
2012-12-31,50.61,$4.97,10.19
2012-09-30,49.32,$5.02,9.83
2012-06-30,47.92,$5.05,9.49
2012-03-31,46.34,$4.83,9.6
2011-12-31,45.67,$4.59,9.94
2011-09-30,43.94,$4.62,9.5
2011-06-30,45.49,$4.71,9.66
2011-03-31,40.17,$4.72,8.52
2010-12-31,41.56,$5.21,7.98
2010-09-30,41.27,$5.76,7.16
2010-06-30,38.98,$5.69,6.85
2010-03-31,42.64,$5.50,7.75
2009-12-31,41.8,$5.15,8.12
