Taysha Gene Therapies Price to Free Cash Flow Ratio Historical Data,Taysha Gene Therapies Price to Free Cash Flow Ratio Historical Data,Taysha Gene Therapies Price to Free Cash Flow Ratio Historical Data,Taysha Gene Therapies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.7,,0.0
2024-12-31,1.73,$-0.33,0.0
2024-09-30,2.01,$-0.42,0.0
2024-06-30,2.24,$-0.17,0.0
2024-03-31,2.87,$-0.37,0.0
2023-12-31,1.77,$-0.66,0.0
2023-09-30,3.16,$0.00,0.0
2023-06-30,0.66,$-0.89,0.0
2023-03-31,0.8,$-1.57,0.0
2022-12-31,2.26,$-2.48,0.0
2022-09-30,1.93,$-4.28,0.0
2022-06-30,3.72,$-4.48,0.0
2022-03-31,6.52,$-4.20,0.0
2021-12-31,11.65,$-3.52,0.0
2021-09-30,18.62,$-3.02,0.0
2021-06-30,21.2,$-3.04,0.0
