ADC Therapeutics SA Price to Free Cash Flow Ratio Historical Data,ADC Therapeutics SA Price to Free Cash Flow Ratio Historical Data,ADC Therapeutics SA Price to Free Cash Flow Ratio Historical Data,ADC Therapeutics SA Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.7,,0.0
2024-09-30,3.15,$-1.38,0.0
2024-06-30,3.16,$-1.66,0.0
2024-03-31,4.49,$-1.83,0.0
2023-12-31,1.66,$-1.49,0.0
2023-09-30,0.9,$-1.79,0.0
2023-06-30,2.15,$-1.29,0.0
2023-03-31,1.95,$-1.54,0.0
2022-12-31,3.84,$-1.78,0.0
2022-09-30,4.82,$-1.89,0.0
2022-06-30,7.95,$-2.72,0.0
2022-03-31,14.69,$-2.80,0.0
2021-12-31,20.2,$-3.09,0.0
2021-09-30,27.16,$-3.21,0.0
2021-06-30,24.35,$-2.93,0.0
2021-03-31,24.41,$-3.32,0.0
