Vanda Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Vanda Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Vanda Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Vanda Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.92,,0.0
2024-12-31,4.79,$-0.35,0.0
2024-09-30,4.69,$-2.13,0.0
2024-06-30,5.65,$-1.92,0.0
2024-03-31,4.11,$-2.00,0.0
2023-12-31,4.22,$-1.53,0.0
2023-09-30,4.32,$0.45,9.7
2023-06-30,6.59,$0.70,9.36
2023-03-31,6.79,$1.03,6.58
2022-12-31,7.39,$0.55,13.45
2022-09-30,9.88,$0.86,11.55
2022-06-30,10.9,$0.80,13.68
2022-03-31,11.31,$1.03,10.99
2021-12-31,15.69,$1.12,14.03
2021-09-30,17.14,$0.98,17.41
2021-06-30,21.51,$0.99,21.84
2021-03-31,15.02,$1.09,13.79
2020-12-31,13.14,$0.91,14.51
2020-09-30,9.66,$0.75,12.93
2020-06-30,11.44,$0.69,16.64
2020-03-31,10.36,$0.62,16.69
2019-12-31,16.41,$0.82,20.03
2019-09-30,13.28,$0.94,14.11
2019-06-30,14.09,$0.99,14.22
2019-03-31,18.4,$0.70,26.19
2018-12-31,26.13,$0.56,46.79
2018-09-30,22.95,$0.34,68.41
2018-06-30,19.05,$0.22,86.04
2018-03-31,16.85,$0.08,207.77
2017-12-31,15.2,$-0.08,0.0
2017-09-30,17.9,$-0.20,0.0
2017-06-30,16.3,$-0.22,0.0
2017-03-31,14.0,$-0.24,0.0
2016-12-31,15.95,$-0.22,0.0
2016-09-30,16.64,$-0.20,0.0
2016-06-30,11.19,$-0.35,0.0
2016-03-31,8.36,$0.01,0.0
2015-12-31,9.31,$0.23,39.65
2015-09-30,11.28,$0.04,286.29
2015-06-30,12.69,$-0.05,0.0
2015-03-31,9.3,$-1.42,0.0
2014-12-31,14.32,$-2.24,0.0
2014-09-30,10.38,$-2.34,0.0
2014-06-30,16.18,$-2.39,0.0
2014-03-31,16.25,$-1.59,0.0
2013-12-31,12.41,$-1.19,0.0
2013-09-30,10.95,$-1.37,0.0
2013-06-30,8.08,$-1.46,0.0
2013-03-31,3.92,$-1.61,0.0
2012-12-31,3.7,$-1.66,0.0
2012-09-30,4.03,$-1.61,0.0
2012-06-30,4.4,$-1.51,0.0
2012-03-31,4.79,$-1.28,0.0
2011-12-31,4.76,$-1.02,0.0
2011-09-30,4.95,$-0.76,0.0
2011-06-30,7.14,$-0.68,0.0
2011-03-31,7.29,$-0.32,0.0
2010-12-31,9.46,$-0.38,0.0
2010-09-30,6.68,$6.80,0.98
2010-06-30,6.61,$6.66,0.99
2010-03-31,11.54,$6.24,1.85
2009-12-31,11.25,$6.27,1.79
