Emergent Biosolutions Price to Free Cash Flow Ratio Historical Data,Emergent Biosolutions Price to Free Cash Flow Ratio Historical Data,Emergent Biosolutions Price to Free Cash Flow Ratio Historical Data,Emergent Biosolutions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.73,,6.95
2024-12-31,9.56,$0.82,11.59
2024-09-30,8.35,$2.59,3.22
2024-06-30,6.82,$0.81,8.39
2024-03-31,2.53,$-2.48,0.0
2023-12-31,2.4,$-5.04,0.0
2023-09-30,3.4,$-3.98,0.0
2023-06-30,7.35,$-7.08,0.0
2023-03-31,10.36,$-5.59,0.0
2022-12-31,11.81,$-2.99,0.0
2022-09-30,20.99,$0.85,24.61
2022-06-30,31.04,$2.17,14.32
2022-03-31,41.06,$1.34,30.61
2021-12-31,43.47,$1.78,24.47
2021-09-30,50.07,$0.45,111.02
2021-06-30,62.99,$2.24,28.07
2021-03-31,92.91,$5.76,16.13
2020-12-31,89.6,$7.34,12.2
2020-09-30,103.33,$5.06,20.4
2020-06-30,79.08,$3.64,21.72
2020-03-31,57.86,$0.95,61.12
2019-12-31,53.95,$1.93,27.96
2019-09-30,52.28,$-3.34,0.0
2019-06-30,48.31,$-0.10,0.0
2019-03-31,50.52,$1.34,37.59
2018-12-31,59.28,$-0.54,0.0
2018-09-30,65.83,$4.38,15.01
2018-06-30,50.49,$1.94,25.98
2018-03-31,52.65,$2.36,22.27
2017-12-31,46.47,$3.05,15.25
2017-09-30,40.45,$1.09,37.2
2017-06-30,33.91,$0.86,39.52
2017-03-31,29.04,$-0.50,0.0
2016-12-31,32.84,$-0.44,0.0
2016-09-30,31.53,$0.01,2694.87
2016-06-30,26.35,$1.73,15.26
2016-03-31,34.06,$2.42,14.06
2015-12-31,37.49,$-0.05,0.0
2015-09-30,26.7,$0.96,27.82
2015-06-30,30.88,$0.76,40.81
2015-03-31,26.95,$0.73,37.15
2014-12-31,25.52,$1.78,14.31
2014-09-30,19.97,$1.02,19.49
2014-06-30,21.05,$0.38,54.82
2014-03-31,23.68,$0.92,25.76
2013-12-31,21.54,$1.50,14.41
2013-09-30,17.85,$0.04,446.26
2013-06-30,13.51,$-0.04,0.0
2013-03-31,13.1,$-0.50,0.0
2012-12-31,15.03,$-0.07,0.0
2012-09-30,13.32,$1.81,7.36
2012-06-30,14.2,$0.46,30.81
2012-03-31,14.99,$-0.18,0.0
2011-12-31,15.78,$-1.16,0.0
2011-09-30,14.46,$-1.19,0.0
2011-06-30,21.13,$0.68,31.11
2011-03-31,22.64,$1.05,21.48
2010-12-31,21.98,$2.33,9.42
2010-09-30,16.17,$0.55,29.37
2010-06-30,15.31,$-0.08,0.0
2010-03-31,15.73,$1.24,12.64
2009-12-31,12.73,$-0.11,0.0
