Personalis Price to Free Cash Flow Ratio Historical Data,Personalis Price to Free Cash Flow Ratio Historical Data,Personalis Price to Free Cash Flow Ratio Historical Data,Personalis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.61,,0.0
2024-12-31,5.78,$-0.79,0.0
2024-09-30,5.38,$-0.98,0.0
2024-06-30,1.17,$-1.30,0.0
2024-03-31,1.49,$-1.38,0.0
2023-12-31,2.1,$-1.39,0.0
2023-09-30,1.21,$-1.62,0.0
2023-06-30,1.88,$-2.05,0.0
2023-03-31,2.76,$-2.60,0.0
2022-12-31,1.98,$-2.63,0.0
2022-09-30,2.97,$-2.49,0.0
2022-06-30,3.45,$-2.17,0.0
2022-03-31,8.19,$-2.02,0.0
2021-12-31,14.27,$-1.87,0.0
2021-09-30,19.24,$-1.55,0.0
2021-06-30,25.3,$-1.51,0.0
2021-03-31,24.61,$-1.35,0.0
2020-12-31,36.61,$-1.34,0.0
2020-09-30,21.67,$-1.80,0.0
2020-06-30,12.97,$-0.18,0.0
2020-03-31,8.07,$-1.75,0.0
