Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data,Exxon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,115.9,,13.95
2024-12-31,107.57,$8.31,12.95
2024-09-30,116.27,$8.11,14.33
2024-06-30,113.28,$8.66,13.08
2024-03-31,113.46,$8.96,12.66
2023-12-31,96.68,$9.26,10.44
2023-09-30,112.68,$10.29,10.95
2023-06-30,101.92,$12.67,8.05
2023-03-31,103.32,$15.39,6.71
2022-12-31,103.12,$15.13,6.81
2022-09-30,80.98,$15.85,5.11
2022-06-30,78.69,$12.50,6.3
2022-03-31,75.12,$10.19,7.37
2021-12-31,55.04,$9.18,6.0
2021-09-30,52.19,$5.71,9.15
2021-06-30,55.14,$3.93,14.03
2021-03-31,48.1,$1.15,41.77
2020-12-31,34.92,$-0.38,0.0
2020-09-30,28.41,$-0.78,0.0
2020-06-30,36.29,$-0.39,0.0
2020-03-31,30.22,$0.60,50.7
2019-12-31,54.74,$1.25,43.65
2019-09-30,54.72,$1.93,28.42
2019-06-30,58.65,$2.65,22.1
2019-03-31,61.14,$3.37,18.12
2018-12-31,51.04,$3.85,13.26
2018-09-30,62.99,$3.95,15.93
2018-06-30,60.67,$3.19,19.04
2018-03-31,54.17,$3.41,15.91
2017-12-31,60.11,$3.45,17.45
2017-09-30,58.38,$3.59,16.25
2017-06-30,56.93,$3.45,16.53
2017-03-31,57.3,$2.62,21.89
2016-12-31,62.49,$1.42,44.1
2016-09-30,59.9,$0.16,382.98
2016-06-30,63.78,$0.35,180.72
2016-03-31,56.4,$0.70,81.14
2015-12-31,52.12,$0.92,56.74
2015-09-30,49.27,$0.98,50.04
2015-06-30,54.62,$1.32,41.36
2015-03-31,55.34,$1.32,41.98
2014-12-31,59.74,$2.84,21.03
2014-09-30,60.34,$3.59,16.82
2014-06-30,64.14,$3.58,17.9
2014-03-31,61.81,$2.98,20.73
2013-12-31,63.59,$2.54,24.99
2013-09-30,53.7,$2.81,19.11
2013-06-30,56.0,$3.03,18.48
2013-03-31,55.47,$3.66,15.14
2012-12-31,52.94,$4.73,11.19
2012-09-30,55.57,$4.48,12.41
2012-06-30,51.67,$4.83,10.7
2012-03-31,52.01,$5.45,9.54
2011-12-31,50.55,$5.00,10.11
2011-09-30,43.06,$5.82,7.4
2011-06-30,47.92,$5.13,9.34
2011-03-31,49.25,$4.83,10.19
2010-12-31,42.58,$4.40,9.68
2010-09-30,35.76,$3.53,10.14
2010-06-30,32.79,$3.35,9.79
2010-03-31,38.22,$1.91,19.99
2009-12-31,38.66,$1.23,31.52
