SPAR Price to Free Cash Flow Ratio Historical Data,SPAR Price to Free Cash Flow Ratio Historical Data,SPAR Price to Free Cash Flow Ratio Historical Data,SPAR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.36,,10.12
2024-09-30,2.45,$0.13,18.23
2024-06-30,2.41,$-0.06,0.0
2024-03-31,0.97,$0.12,7.8
2023-12-31,1.01,$0.23,4.43
2023-09-30,0.96,$-0.04,0.0
2023-06-30,1.26,$0.15,8.67
2023-03-31,1.29,$-0.04,0.0
2022-12-31,1.3,$-0.31,0.0
2022-09-30,1.45,$-0.19,0.0
2022-06-30,1.18,$-0.16,0.0
2022-03-31,1.3,$-0.21,0.0
2021-12-31,1.23,$0.04,28.81
2021-09-30,1.39,$0.04,32.03
2021-06-30,1.43,$-0.03,0.0
2021-03-31,1.68,$0.38,4.38
2020-12-31,1.15,$0.34,3.38
2020-09-30,0.76,$0.50,1.53
2020-06-30,0.75,$0.70,1.07
2020-03-31,0.65,$0.27,2.37
2019-12-31,1.3,$0.23,5.77
2019-09-30,1.03,$0.20,5.22
2019-06-30,0.68,$0.43,1.57
2019-03-31,0.63,$0.08,8.3
2018-12-31,0.54,$0.02,25.89
2018-09-30,0.98,$-0.16,0.0
2018-06-30,1.26,$-0.40,0.0
2018-03-31,1.4,$-0.08,0.0
2017-12-31,1.23,$0.26,4.76
2017-09-30,1.06,$0.20,5.41
2017-06-30,1.0,$0.15,6.47
2017-03-31,1.02,$0.09,11.99
2016-12-31,1.0,$-0.01,0.0
2016-09-30,1.01,$0.01,84.87
2016-06-30,1.05,$0.01,78.95
2016-03-31,0.97,$0.31,3.14
2015-12-31,1.02,$0.15,6.64
2015-09-30,1.5,$0.06,23.44
2015-06-30,1.3,$0.17,7.74
2015-03-31,1.46,$-0.03,0.0
2014-12-31,1.4,$0.04,39.66
2014-09-30,1.51,$0.06,26.22
2014-06-30,1.51,$-0.10,0.0
2014-03-31,1.97,$-0.04,0.0
2013-12-31,1.98,$0.07,27.24
2013-09-30,1.82,$0.11,16.34
2013-06-30,2.73,$0.14,19.08
2013-03-31,1.92,$0.19,10.05
2012-12-31,1.74,$0.10,16.98
2012-09-30,1.66,$0.20,8.21
2012-06-30,1.15,$0.15,7.48
2012-03-31,1.35,$0.16,8.53
2011-12-31,1.0,$0.13,7.85
2011-09-30,1.2,$0.10,11.57
2011-06-30,1.12,$0.12,9.58
2011-03-31,1.73,$0.05,35.09
2010-12-31,0.83,$-0.06,0.0
2010-09-30,0.95,$-0.11,0.0
2010-06-30,0.78,$-0.12,0.0
2010-03-31,0.86,$-0.05,0.0
2009-12-31,0.8,$0.03,27.87
