AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data,AbbVie PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,211.96,,88.32
2024-12-31,177.7,$2.40,74.04
2024-09-30,195.9,$2.88,68.02
2024-06-30,168.59,$3.00,56.2
2024-03-31,177.3,$3.37,52.61
2023-12-31,149.46,$2.73,54.75
2023-09-30,142.34,$3.65,39.0
2023-06-30,127.24,$4.86,26.18
2023-03-31,149.16,$4.23,35.26
2022-12-31,149.8,$6.61,22.66
2022-09-30,123.18,$7.49,16.45
2022-06-30,139.27,$7.06,19.73
2022-03-31,146.11,$6.97,20.96
2021-12-31,120.76,$6.45,18.72
2021-09-30,95.07,$4.20,22.64
2021-06-30,98.19,$3.71,26.47
2021-03-31,93.19,$2.83,32.93
2020-12-31,91.21,$2.86,31.89
2020-09-30,73.55,$4.73,15.55
2020-06-30,81.47,$4.70,17.33
2020-03-31,62.33,$5.65,11.03
2019-12-31,71.48,$5.28,13.54
2019-09-30,60.25,$2.17,27.77
2019-06-30,57.0,$2.72,20.95
2019-03-31,62.34,$3.49,17.86
2018-12-31,70.42,$3.58,19.67
2018-09-30,71.49,$4.84,14.77
2018-06-30,69.34,$4.04,17.16
2018-03-31,70.1,$3.97,17.66
2017-12-31,71.12,$3.29,21.62
2017-09-30,64.89,$4.11,15.79
2017-06-30,52.49,$4.07,12.9
2017-03-31,46.7,$3.86,12.1
2016-12-31,44.41,$3.63,12.24
2016-09-30,44.32,$3.70,11.98
2016-06-30,43.13,$3.47,12.43
2016-03-31,39.41,$3.32,11.87
2015-12-31,40.42,$3.12,12.96
2015-09-30,36.78,$1.69,21.76
2015-06-30,45.08,$1.26,35.78
2015-03-31,38.96,$1.11,35.1
2014-12-31,43.21,$1.09,39.65
2014-09-30,37.85,$2.30,16.46
2014-06-30,36.71,$2.59,14.17
2014-03-31,33.13,$2.57,12.89
2013-12-31,33.77,$2.56,13.19
