Vanda Pharmaceuticals PE Ratio Historical Data,Vanda Pharmaceuticals PE Ratio Historical Data,Vanda Pharmaceuticals PE Ratio Historical Data,Vanda Pharmaceuticals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.92,,0.0
2024-12-31,4.79,$-0.32,0.0
2024-09-30,4.69,$-0.28,0.0
2024-06-30,5.65,$-0.19,0.0
2024-03-31,4.11,$-0.08,0.0
2023-12-31,4.22,$0.05,84.4
2023-09-30,4.32,$0.21,20.57
2023-06-30,6.59,$0.27,24.41
2023-03-31,6.79,$0.29,23.41
2022-12-31,7.39,$0.12,61.58
2022-09-30,9.88,$0.12,82.33
2022-06-30,10.9,$0.20,54.5
2022-03-31,11.31,$0.32,35.34
2021-12-31,15.69,$0.58,27.05
2021-09-30,17.14,$0.61,28.1
2021-06-30,21.51,$0.58,37.09
2021-03-31,15.02,$0.57,26.35
2020-12-31,13.14,$0.43,30.56
2020-09-30,9.66,$0.36,26.83
2020-06-30,11.44,$2.09,5.47
2020-03-31,10.36,$2.14,4.84
2019-12-31,16.41,$2.12,7.74
2019-09-30,13.28,$2.23,5.96
2019-06-30,14.09,$0.52,27.1
2019-03-31,18.4,$0.40,46.0
2018-12-31,26.13,$0.47,55.6
2018-09-30,22.95,$0.24,95.63
2018-06-30,19.05,$0.01,0.0
2018-03-31,16.85,$-0.11,0.0
2017-12-31,15.2,$-0.34,0.0
2017-09-30,17.9,$-0.31,0.0
2017-06-30,16.3,$-0.22,0.0
2017-03-31,14.0,$-0.30,0.0
2016-12-31,15.95,$-0.42,0.0
2016-09-30,16.64,$-0.76,0.0
2016-06-30,11.19,$-0.97,0.0
2016-03-31,8.36,$-0.99,0.0
2015-12-31,9.31,$-0.94,0.0
2015-09-30,11.28,$1.18,9.56
2015-06-30,12.69,$1.36,9.33
2015-03-31,9.3,$0.85,10.94
2014-12-31,14.32,$0.30,47.73
2014-09-30,10.38,$-1.70,0.0
2014-06-30,16.18,$-1.83,0.0
2014-03-31,16.25,$-1.30,0.0
2013-12-31,12.41,$-0.66,0.0
2013-09-30,10.95,$-0.66,0.0
2013-06-30,8.08,$-0.68,0.0
2013-03-31,3.92,$-0.85,0.0
2012-12-31,3.7,$-0.98,0.0
2012-09-30,4.03,$-0.95,0.0
2012-06-30,4.4,$-0.87,0.0
2012-03-31,4.79,$-0.64,0.0
2011-12-31,4.76,$-0.36,0.0
2011-09-30,4.95,$-0.08,0.0
2011-06-30,7.14,$0.14,51.0
2011-03-31,7.29,$0.23,31.7
2010-12-31,9.46,$0.25,37.84
2010-09-30,6.68,$-0.17,0.0
2010-06-30,6.61,$-0.56,0.0
2010-03-31,11.54,$-1.06,0.0
2009-12-31,11.25,$-1.32,0.0
