Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data,Cincinnati Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,146.22,,10.07
2024-12-31,143.7,$14.52,9.9
2024-09-30,136.12,$19.46,6.99
2024-06-30,117.4,$13.63,8.61
2024-03-31,122.56,$15.03,8.15
2023-12-31,101.43,$11.67,8.69
2023-09-30,99.55,$10.57,9.42
2023-06-30,94.05,$8.56,10.99
2023-03-31,107.51,$0.12,895.94
2022-12-31,97.56,$-3.00,0.0
2022-09-30,84.78,$-0.36,0.0
2022-06-30,111.84,$3.22,34.73
2022-03-31,127.03,$12.59,10.09
2021-12-31,105.89,$18.11,5.85
2021-09-30,105.59,$15.54,6.79
2021-06-30,107.23,$17.59,6.1
2021-03-31,94.3,$18.91,4.99
2020-12-31,79.45,$7.53,10.55
2020-09-30,70.38,$4.85,14.51
2020-06-30,57.34,$3.35,17.12
2020-03-31,66.94,$0.31,215.92
2019-12-31,92.63,$12.09,7.66
2019-09-30,102.23,$5.52,18.52
2019-06-30,90.39,$7.41,12.2
2019-03-31,74.5,$6.14,12.13
2018-12-31,66.7,$1.73,38.56
2018-09-30,65.72,$8.39,7.83
2018-06-30,56.82,$5.62,10.11
2018-03-31,62.63,$4.90,12.78
2017-12-31,62.78,$6.30,9.97
2017-09-30,63.27,$3.02,20.95
2017-06-30,59.47,$3.49,17.04
2017-03-31,58.92,$3.63,16.23
2016-12-31,61.34,$3.55,17.28
2016-09-30,60.7,$3.89,15.6
2016-06-30,59.88,$3.86,15.51
2016-03-31,51.91,$4.18,12.42
2015-12-31,46.65,$3.82,12.21
2015-09-30,41.77,$3.90,10.71
2015-06-30,38.63,$3.96,9.75
2015-03-31,40.64,$3.41,11.92
2014-12-31,39.2,$3.20,12.25
2014-09-30,35.27,$2.92,12.08
2014-06-30,35.69,$2.60,13.73
2014-03-31,35.82,$2.75,13.03
2013-12-31,38.2,$3.13,12.2
2013-09-30,34.11,$3.56,9.58
2013-06-30,32.92,$3.45,9.54
2013-03-31,33.56,$2.99,11.22
2012-12-31,27.59,$2.58,10.69
2012-09-30,26.41,$2.24,11.79
2012-06-30,26.28,$1.68,15.64
2012-03-31,23.56,$1.18,19.97
2011-12-31,20.56,$1.03,19.96
2011-09-30,17.53,$0.97,18.07
2011-06-30,19.14,$1.80,10.64
2011-03-31,21.21,$2.27,9.35
2010-12-31,20.26,$2.31,8.77
2010-09-30,18.19,$3.04,5.98
2010-06-30,16.11,$3.14,5.13
2010-03-31,17.75,$2.85,6.23
2009-12-31,15.89,$2.65,6.0
