McEwen Mining PE Ratio Historical Data,McEwen Mining PE Ratio Historical Data,McEwen Mining PE Ratio Historical Data,McEwen Mining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.34,,0.0
2024-12-31,7.78,$-0.86,0.0
2024-09-30,9.3,$2.19,4.25
2024-06-30,9.18,$1.84,4.99
2024-03-31,9.86,$1.64,6.01
2023-12-31,7.21,$1.14,6.32
2023-09-30,6.5,$-2.55,0.0
2023-06-30,7.19,$-2.37,0.0
2023-03-31,8.47,$-2.17,0.0
2022-12-31,5.86,$-1.66,0.0
2022-09-30,3.26,$-1.37,0.0
2022-06-30,4.39,$-1.56,0.0
2022-03-31,8.42,$-1.40,0.0
2021-12-31,8.87,$-1.30,0.0
2021-09-30,10.4,$-1.40,0.0
2021-06-30,13.8,$-1.20,0.0
2021-03-31,10.4,$-1.60,0.0
2020-12-31,9.85,$-3.80,0.0
2020-09-30,10.6,$-3.90,0.0
2020-06-30,10.1,$-4.00,0.0
2020-03-31,6.61,$-3.90,0.0
2019-12-31,12.7,$-1.70,0.0
2019-09-30,15.6,$-1.60,0.0
2019-06-30,17.5,$-1.70,0.0
2019-03-31,15.0,$-1.50,0.0
2018-12-31,18.15,$-1.40,0.0
2018-09-30,19.34,$-0.70,0.0
2018-06-30,20.59,$-0.60,0.0
2018-03-31,20.69,$-0.50,0.0
2017-12-31,22.62,$-0.40,0.0
2017-09-30,19.35,$-0.60,0.0
2017-06-30,26.1,$-0.20,0.0
2017-03-31,30.17,$0.20,150.83
2016-12-31,28.88,$0.70,41.25
2016-09-30,36.42,$0.30,121.39
2016-06-30,38.2,$0.30,127.34
2016-03-31,18.65,$-0.50,0.0
2015-12-31,10.52,$-0.70,0.0
2015-09-30,8.68,$-7.30,0.0
2015-06-30,9.45,$-7.80,0.0
2015-03-31,10.05,$-10.80,0.0
2014-12-31,10.94,$-10.40,0.0
2014-09-30,19.31,$-3.70,0.0
2014-06-30,28.38,$-3.20,0.0
2014-03-31,23.35,$-4.00,0.0
2013-12-31,19.31,$-5.00,0.0
2013-09-30,23.65,$-5.60,0.0
2013-06-30,16.55,$-5.80,0.0
2013-03-31,28.18,$-1.50,0.0
2012-12-31,37.73,$-1.90,0.0
2012-09-30,43.29,$-2.10,0.0
2012-06-30,28.39,$-3.70,0.0
2012-03-31,41.88,$-4.60,0.0
2011-12-31,31.69,$-4.50,0.0
2011-09-30,37.82,$-3.90,0.0
2011-06-30,56.88,$-2.90,0.0
2011-03-31,83.29,$-3.00,0.0
2010-12-31,76.12,$-2.90,0.0
2010-09-30,46.88,$-2.60,0.0
2010-06-30,47.26,$-3.10,0.0
2010-03-31,25.47,$-2.50,0.0
2009-12-31,23.39,$-2.40,0.0
