Prothena PE Ratio Historical Data,Prothena PE Ratio Historical Data,Prothena PE Ratio Historical Data,Prothena PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.87,,0.0
2024-12-31,13.85,$-2.30,0.0
2024-09-30,16.73,$-2.48,0.0
2024-06-30,20.64,$-1.00,0.0
2024-03-31,24.77,$-3.25,0.0
2023-12-31,36.34,$-2.80,0.0
2023-09-30,48.25,$-1.42,0.0
2023-06-30,68.28,$-2.77,0.0
2023-03-31,48.47,$-2.62,0.0
2022-12-31,60.25,$-2.51,0.0
2022-09-30,60.63,$-3.34,0.0
2022-06-30,27.15,$-0.24,0.0
2022-03-31,36.57,$1.22,29.98
2021-12-31,49.4,$1.09,45.32
2021-09-30,71.23,$1.03,69.16
2021-06-30,51.41,$-1.87,0.0
2021-03-31,25.12,$-3.11,0.0
2020-12-31,12.01,$-2.79,0.0
2020-09-30,9.99,$-2.56,0.0
2020-06-30,10.46,$-2.28,0.0
2020-03-31,10.7,$-2.02,0.0
2019-12-31,15.83,$-1.95,0.0
2019-09-30,7.84,$-1.97,0.0
2019-06-30,10.57,$-2.10,0.0
2019-03-31,12.13,$-3.20,0.0
2018-12-31,10.3,$-3.94,0.0
2018-09-30,13.08,$-4.62,0.0
2018-06-30,14.58,$-5.37,0.0
2018-03-31,36.71,$-4.33,0.0
2017-12-31,37.49,$-4.06,0.0
2017-09-30,64.77,$-4.23,0.0
2017-06-30,54.12,$-4.12,0.0
2017-03-31,55.79,$-4.84,0.0
2016-12-31,49.19,$-4.66,0.0
2016-09-30,59.97,$-4.01,0.0
2016-06-30,34.96,$-3.48,0.0
2016-03-31,41.16,$-2.89,0.0
2015-12-31,68.11,$-2.63,0.0
2015-09-30,45.34,$-2.35,0.0
2015-06-30,52.67,$-2.10,0.0
2015-03-31,38.14,$-1.45,0.0
2014-12-31,20.76,$-0.12,0.0
2014-09-30,22.16,$-0.16,0.0
2014-06-30,22.55,$-0.23,0.0
2014-03-31,38.31,$-0.93,0.0
2013-12-31,26.52,$-2.22,0.0
2013-09-30,20.23,$-2.52,0.0
