Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data,Allegion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,127.72,,18.73
2024-12-31,130.68,$6.82,19.16
2024-09-30,145.74,$6.51,22.39
2024-06-30,117.75,$6.29,18.72
2024-03-31,133.7,$6.13,21.81
2023-12-31,125.28,$6.12,20.47
2023-09-30,102.65,$6.31,16.27
2023-06-30,117.73,$5.84,20.16
2023-03-31,104.29,$5.53,18.86
2022-12-31,102.42,$5.18,19.77
2022-09-30,86.93,$4.91,17.7
2022-06-30,94.48,$5.20,18.17
2022-03-31,105.51,$5.21,20.25
2021-12-31,126.84,$5.34,23.75
2021-09-30,126.24,$5.09,24.8
2021-06-30,132.7,$5.08,26.12
2021-03-31,119.36,$4.57,26.12
2020-12-31,110.25,$3.39,32.52
2020-09-30,93.43,$3.24,28.84
2020-06-30,96.25,$3.06,31.46
2020-03-31,86.38,$3.42,25.26
2019-12-31,116.52,$4.26,27.35
2019-09-30,96.76,$4.79,20.2
2019-06-30,102.93,$4.60,22.38
2019-03-31,84.24,$4.63,18.2
2018-12-31,73.8,$4.54,16.26
2018-09-30,83.66,$3.25,25.74
2018-06-30,71.28,$2.98,23.92
2018-03-31,78.39,$2.89,27.12
2017-12-31,72.94,$2.85,25.59
2017-09-30,79.13,$3.52,22.48
2017-06-30,74.09,$2.60,28.49
2017-03-31,69.0,$2.48,27.82
2016-12-31,58.21,$2.37,24.56
2016-09-30,62.56,$2.34,26.74
2016-06-30,62.92,$2.04,30.84
2016-03-31,57.63,$1.72,33.51
2015-12-31,59.52,$1.59,37.43
2015-09-30,51.98,$1.22,42.61
2015-06-30,54.13,$2.12,25.53
2015-03-31,54.97,$1.91,28.78
2014-12-31,49.75,$1.81,27.49
2014-09-30,42.67,$1.54,27.71
