Brighthouse Financial PE Ratio Historical Data,Brighthouse Financial PE Ratio Historical Data,Brighthouse Financial PE Ratio Historical Data,Brighthouse Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,57.98,,11.24
2024-12-31,48.04,$5.16,9.31
2024-09-30,45.03,$-20.33,0.0
2024-06-30,43.34,$-15.91,0.0
2024-03-31,51.54,$-19.04,0.0
2023-12-31,52.92,$-18.54,0.0
2023-09-30,48.94,$-17.85,0.0
2023-06-30,47.35,$-34.50,0.0
2023-03-31,44.11,$-18.72,0.0
2022-12-31,51.27,$-3.09,0.0
2022-09-30,43.42,$11.43,3.8
2022-06-30,41.02,$25.53,1.61
2022-03-31,51.66,$12.87,4.01
2021-12-31,51.8,$-2.00,0.0
2021-09-30,45.23,$-14.20,0.0
2021-06-30,45.54,$-51.03,0.0
2021-03-31,44.25,$-72.24,0.0
2020-12-31,36.21,$-18.17,0.0
2020-09-30,26.91,$-16.50,0.0
2020-06-30,27.82,$22.05,1.26
2020-03-31,24.17,$46.42,0.52
2019-12-31,39.23,$-7.00,0.0
2019-09-30,40.47,$15.16,2.67
2019-06-30,36.69,$6.84,5.36
2019-03-31,36.29,$1.56,23.26
2018-12-31,30.48,$7.31,4.17
2018-09-30,44.24,$0.75,58.99
2018-06-30,40.07,$-4.86,0.0
