Omeros PE Ratio Historical Data,Omeros PE Ratio Historical Data,Omeros PE Ratio Historical Data,Omeros PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,9.1,,0.0
2024-09-30,3.97,$-2.31,0.0
2024-06-30,4.06,$-2.35,0.0
2024-03-31,3.45,$-1.97,0.0
2023-12-31,3.27,$-1.88,0.0
2023-09-30,2.92,$0.32,9.13
2023-06-30,5.44,$0.64,8.5
2023-03-31,4.65,$0.74,6.28
2022-12-31,2.26,$0.75,3.01
2022-09-30,3.15,$3.18,0.99
2022-06-30,2.75,$3.10,0.89
2022-03-31,6.01,$3.13,1.92
2021-12-31,6.43,$3.09,2.08
2021-09-30,13.79,$-1.99,0.0
2021-06-30,14.84,$-2.29,0.0
2021-03-31,17.8,$-2.44,0.0
2020-12-31,14.29,$-2.40,0.0
2020-09-30,10.11,$-2.38,0.0
2020-06-30,14.72,$-2.05,0.0
2020-03-31,13.37,$-1.73,0.0
2019-12-31,14.09,$-1.70,0.0
2019-09-30,16.33,$-1.60,0.0
2019-06-30,15.69,$-2.08,0.0
2019-03-31,17.37,$-2.49,0.0
2018-12-31,11.14,$-2.61,0.0
2018-09-30,24.41,$-2.47,0.0
2018-06-30,18.14,$-1.82,0.0
2018-03-31,11.17,$-1.45,0.0
2017-12-31,19.43,$-1.17,0.0
2017-09-30,21.62,$-1.28,0.0
2017-06-30,19.91,$-1.46,0.0
2017-03-31,15.12,$-1.45,0.0
2016-12-31,9.92,$-1.65,0.0
2016-09-30,11.16,$-1.72,0.0
2016-06-30,10.52,$-1.91,0.0
2016-03-31,15.34,$-2.03,0.0
2015-12-31,15.73,$-2.00,0.0
2015-09-30,10.96,$-2.09,0.0
2015-06-30,17.99,$-2.10,0.0
2015-03-31,22.03,$-2.19,0.0
2014-12-31,24.78,$-2.22,0.0
2014-09-30,12.72,$-1.66,0.0
2014-06-30,17.4,$-1.58,0.0
2014-03-31,12.07,$-1.53,0.0
2013-12-31,11.29,$-1.39,0.0
2013-09-30,9.75,$-1.64,0.0
2013-06-30,5.04,$-1.69,0.0
2013-03-31,4.12,$-1.59,0.0
2012-12-31,5.19,$-1.59,0.0
2012-09-30,9.4,$-1.75,0.0
2012-06-30,10.0,$-1.53,0.0
2012-03-31,9.93,$-1.39,0.0
2011-12-31,3.95,$-1.29,0.0
2011-09-30,4.05,$-1.17,0.0
2011-06-30,4.12,$-1.23,0.0
2011-03-31,8.0,$-1.35,0.0
2010-12-31,8.24,$-1.36,0.0
2010-09-30,7.29,$-1.30,0.0
