Capital Southwest PE Ratio Historical Data,Capital Southwest PE Ratio Historical Data,Capital Southwest PE Ratio Historical Data,Capital Southwest PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.22,,15.76
2024-12-31,21.82,$1.41,15.48
2024-09-30,24.58,$1.64,14.99
2024-06-30,24.72,$1.73,14.29
2024-03-31,23.08,$2.05,11.26
2023-12-31,21.34,$2.35,9.08
2023-09-30,20.08,$1.87,10.74
2023-06-30,16.82,$1.64,10.26
2023-03-31,14.71,$1.11,13.25
2022-12-31,13.68,$1.37,9.99
2022-09-30,13.13,$1.82,7.21
2022-06-30,13.89,$1.28,10.85
2022-03-31,17.32,$1.89,9.16
2021-12-31,18.08,$1.54,11.74
2021-09-30,17.33,$1.80,9.63
2021-06-30,15.67,$2.88,5.44
2021-03-31,14.66,$2.66,5.51
2020-12-31,11.47,$0.78,14.7
2020-09-30,8.81,$-0.40,0.0
2020-06-30,8.16,$-1.13,0.0
2020-03-31,6.67,$-1.24,0.0
2019-12-31,11.69,$0.76,15.39
2019-09-30,11.57,$1.53,7.56
2019-06-30,10.86,$1.78,6.1
2019-03-31,10.67,$2.12,5.03
2018-12-31,9.53,$2.44,3.91
2018-09-30,9.2,$2.69,3.42
2018-06-30,8.58,$2.82,3.04
2018-03-31,7.69,$2.44,3.15
2017-12-31,7.36,$1.88,3.92
2017-09-30,7.5,$1.73,4.34
2017-06-30,6.94,$1.64,4.23
2017-03-31,7.2,$1.47,4.9
2016-12-31,6.69,$1.26,5.31
2016-09-30,6.02,$0.70,8.61
2016-06-30,5.56,$-0.31,0.0
2016-03-31,5.62,$-0.34,0.0
2015-12-31,5.61,$1.63,3.44
2015-09-30,6.76,$1.70,3.97
2015-06-30,7.12,$0.31,22.96
2015-03-31,6.6,$1.45,4.55
2014-12-31,5.39,$-0.76,0.0
2014-09-30,5.07,$3.14,1.62
2014-06-30,5.11,$8.08,0.63
2014-03-31,4.91,$9.22,0.53
2013-12-31,4.93,$11.99,0.41
2013-09-30,4.82,$9.88,0.49
2013-06-30,4.86,$10.20,0.48
2013-03-31,4.04,$7.78,0.52
2012-12-31,3.42,$10.22,0.33
2012-09-30,3.83,$11.82,0.32
2012-06-30,3.52,$8.52,0.41
2012-03-31,2.67,$8.52,0.31
2011-12-31,2.3,$3.29,0.7
2011-09-30,2.08,$-0.01,0.0
2011-06-30,2.6,$-0.01,0.0
2011-03-31,2.56,$0.12,21.37
2010-12-31,2.91,$0.16,18.76
2010-09-30,2.53,$0.19,13.51
2010-06-30,2.45,$0.21,11.82
2010-03-31,2.52,$0.11,23.49
2009-12-31,2.19,$0.15,14.6
