One Stop Systems PE Ratio Historical Data,One Stop Systems PE Ratio Historical Data,One Stop Systems PE Ratio Historical Data,One Stop Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.72,,0.0
2024-12-31,3.35,$-0.49,0.0
2024-09-30,2.39,$-0.50,0.0
2024-06-30,2.41,$-0.36,0.0
2024-03-31,3.26,$-0.37,0.0
2023-12-31,2.1,$-0.33,0.0
2023-09-30,1.85,$-0.48,0.0
2023-06-30,2.87,$-0.29,0.0
2023-03-31,2.48,$-0.15,0.0
2022-12-31,3.01,$-0.10,0.0
2022-09-30,3.2,$0.04,80.0
2022-06-30,3.94,$0.08,49.25
2022-03-31,3.82,$0.15,25.47
2021-12-31,4.95,$0.12,41.25
2021-09-30,5.03,$0.15,33.53
2021-06-30,5.79,$0.15,38.6
2021-03-31,6.34,$0.06,105.67
2020-12-31,4.0,$-0.01,0.0
2020-09-30,2.1,$0.04,52.5
2020-06-30,1.97,$0.02,98.5
2020-03-31,1.44,$-0.09,0.0
2019-12-31,2.02,$-0.09,0.0
2019-09-30,2.95,$-0.16,0.0
2019-06-30,1.71,$-0.10,0.0
2019-03-31,2.04,$-0.11,0.0
2018-12-31,1.94,$-0.12,0.0
