Xenetic Biosciences PE Ratio Historical Data,Xenetic Biosciences PE Ratio Historical Data,Xenetic Biosciences PE Ratio Historical Data,Xenetic Biosciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.4,,0.0
2024-12-31,3.99,$-1.89,0.0
2024-09-30,4.32,$-2.66,0.0
2024-06-30,4.07,$-3.07,0.0
2024-03-31,3.77,$-2.93,0.0
2023-12-31,3.45,$-2.75,0.0
2023-09-30,4.9,$-2.98,0.0
2023-06-30,3.28,$-2.89,0.0
2023-03-31,4.06,$-4.10,0.0
2022-12-31,2.85,$-4.70,0.0
2022-09-30,5.37,$-3.70,0.0
2022-06-30,8.01,$-4.40,0.0
2022-03-31,10.2,$-3.80,0.0
2021-12-31,12.9,$-4.10,0.0
2021-09-30,20.5,$-5.60,0.0
2021-06-30,20.4,$-16.30,0.0
2021-03-31,21.8,$-16.50,0.0
2020-12-31,20.4,$-16.90,0.0
2020-09-30,9.05,$-15.40,0.0
2020-06-30,10.2,$-30.10,0.0
2020-03-31,7.41,$-44.20,0.0
2019-12-31,14.4,$-107.13,0.0
2019-09-30,11.97,$-127.53,0.0
2019-06-30,112.5,$-123.64,0.0
2019-03-31,232.8,$-135.65,0.0
2018-12-31,196.8,$-96.04,0.0
2018-09-30,339.6,$-14.41,0.0
2018-06-30,489.6,$-22.81,0.0
2018-03-31,258.0,$-36.01,0.0
2017-12-31,230.22,$-51.62,0.0
2017-09-30,242.4,$-148.86,0.0
