Aethlon Medical PE Ratio Historical Data,Aethlon Medical PE Ratio Historical Data,Aethlon Medical PE Ratio Historical Data,Aethlon Medical PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.86,$-1.58,0.0
2024-09-30,0.47,$-2.82,0.0
2024-06-30,0.5,$-3.84,0.0
2024-03-31,1.68,$-4.80,0.0
2023-12-31,2.19,$-4.99,0.0
2023-09-30,2.26,$-4.82,0.0
2023-06-30,3.6,$-5.40,0.0
2023-03-31,3.83,$-6.00,0.0
2022-12-31,2.75,$-7.40,0.0
2022-09-30,5.82,$-7.80,0.0
2022-06-30,11.2,$-7.30,0.0
2022-03-31,14.6,$-7.00,0.0
2021-12-31,18.6,$-6.00,0.0
2021-09-30,38.6,$-6.40,0.0
2021-06-30,49.2,$-6.60,0.0
2021-03-31,20.3,$-6.50,0.0
2020-12-31,24.7,$-5.00,0.0
2020-09-30,13.5,$-5.80,0.0
2020-06-30,20.3,$-17.20,0.0
2020-03-31,15.2,$-32.19,0.0
2019-12-31,9.63,$-45.69,0.0
2019-09-30,34.5,$-59.38,0.0
2019-06-30,54.75,$-58.47,0.0
2019-03-31,142.5,$-50.97,0.0
2018-12-31,249.0,$-46.48,0.0
2018-09-30,177.0,$-41.98,0.0
2018-06-30,192.0,$-50.98,0.0
2018-03-31,178.5,$-73.46,0.0
2017-12-31,169.5,$-97.45,0.0
2017-09-30,231.0,$-107.95,0.0
2017-06-30,321.0,$-130.44,0.0
2017-03-31,489.86,$-140.93,0.0
2016-12-31,630.0,$-131.93,0.0
2016-09-30,753.0,$-133.43,0.0
2016-06-30,855.0,$-113.94,0.0
