Algoma Steel Group PE Ratio Historical Data,Algoma Steel Group PE Ratio Historical Data,Algoma Steel Group PE Ratio Historical Data,Algoma Steel Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,6.31,,0.0
2024-09-30,10.23,$-1.27,0.0
2024-06-30,6.96,$-0.37,0.0
2024-03-31,8.49,$0.31,27.39
2023-12-31,10.03,$0.10,100.3
2023-09-30,6.8,$0.20,34.0
2023-06-30,7.1,$0.30,23.67
2023-03-31,8.08,$0.84,9.62
2022-12-31,6.34,$2.13,2.98
2022-09-30,6.44,$3.33,1.93
2022-06-30,8.93,$6.24,1.43
2022-03-31,11.13,$5.07,2.2
2021-12-31,10.64,$3.92,2.71
