Pulmatrix PE Ratio Historical Data,Pulmatrix PE Ratio Historical Data,Pulmatrix PE Ratio Historical Data,Pulmatrix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.6,,0.0
2024-09-30,2.14,$-2.64,0.0
2024-06-30,1.93,$-2.96,0.0
2024-03-31,1.75,$-2.41,0.0
2023-12-31,1.86,$-3.86,0.0
2023-09-30,2.03,$-4.43,0.0
2023-06-30,2.68,$-4.85,0.0
2023-03-31,2.92,$-5.17,0.0
2022-12-31,3.88,$-5.46,0.0
2022-09-30,3.57,$-4.32,0.0
2022-06-30,4.59,$-5.87,0.0
2022-03-31,6.83,$-5.91,0.0
2021-12-31,8.75,$-6.20,0.0
2021-09-30,16.0,$-7.20,0.0
2021-06-30,20.8,$-10.40,0.0
2021-03-31,26.6,$-10.00,0.0
2020-12-31,23.8,$-12.80,0.0
2020-09-30,23.8,$-15.20,0.0
2020-06-30,34.4,$-12.60,0.0
2020-03-31,20.2,$-19.80,0.0
2019-12-31,17.2,$-30.00,0.0
2019-09-30,16.36,$-26.60,0.0
2019-06-30,18.44,$-43.00,0.0
2019-03-31,25.4,$-60.80,0.0
2018-12-31,48.02,$-94.00,0.0
2018-09-30,74.0,$-94.00,0.0
2018-06-30,90.0,$-118.00,0.0
2018-03-31,101.8,$-150.00,0.0
2017-12-31,282.0,$-144.00,0.0
2017-09-30,410.0,$-144.00,0.0
2017-06-30,476.0,$-142.00,0.0
2017-03-31,698.0,$-208.00,0.0
2016-12-31,118.0,$-242.00,0.0
2016-09-30,330.0,$-334.00,0.0
2016-06-30,392.0,$-360.00,0.0
2016-03-31,586.0,$-768.00,0.0
2015-12-31,840.0,$-692.00,0.0
2015-09-30,982.0,$-945.00,0.0
2015-06-30,1920.0,"$-1,052.00",0.0
2015-03-31,1720.0,$-700.00,0.0
2014-12-31,1750.0,$-930.00,0.0
