Sunlands Technology Group PE Ratio Historical Data,Sunlands Technology Group PE Ratio Historical Data,Sunlands Technology Group PE Ratio Historical Data,Sunlands Technology Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.59,,1.25
2024-09-30,7.73,$4.49,1.72
2024-06-30,7.85,$4.87,1.61
2024-03-31,9.72,$5.77,1.68
2023-12-31,10.17,$6.53,1.56
2023-09-30,5.46,$6.83,0.8
2023-06-30,3.69,$7.21,0.51
2023-03-31,8.5,$6.74,1.26
2022-12-31,7.29,$6.98,1.04
2022-09-30,4.19,$6.89,0.61
2022-06-30,5.09,$6.30,0.81
2022-03-31,3.86,$5.29,0.73
2021-12-31,4.45,$2.53,1.76
2021-09-30,4.8,$-0.15,0.0
2021-06-30,11.23,$-3.13,0.0
2021-03-31,12.35,$-4.75,0.0
2020-12-31,12.24,$-4.75,0.0
2020-09-30,18.97,$-5.38,0.0
2020-06-30,15.04,$-4.88,0.0
2020-03-31,15.38,$-3.63,0.0
2019-12-31,28.85,$-4.25,0.0
2019-09-30,33.12,$-4.75,0.0
2019-06-30,26.83,$-62.88,0.0
2019-03-31,40.41,$-65.75,0.0
2018-12-31,34.13,$-64.50,0.0
