Alterity Therapeutics - PE Ratio Historical Data,Alterity Therapeutics - PE Ratio Historical Data,Alterity Therapeutics - PE Ratio Historical Data,Alterity Therapeutics - PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.92,,inf
2024-12-31,3.31,0.0,0.0
2024-06-30,1.81,0.0,0.0
2023-12-31,2.49,0.0,0.0
2023-06-30,2.79,0.0,0.0
2022-12-31,3.48,0.0,0.0
2022-06-30,6.11,0.0,0.0
2021-12-31,7.2,0.0,0.0
2021-06-30,13.0,0.0,0.0
2020-12-31,13.4,0.0,0.0
2020-06-30,11.9,0.0,0.0
2019-12-31,7.8,0.0,0.0
2019-06-30,13.1,0.0,0.0
2018-12-31,12.8,0.0,0.0
2018-06-30,18.89,0.0,0.0
2017-12-31,31.2,0.0,0.0
2017-06-30,22.9,0.0,0.0
2016-12-31,16.3,0.0,0.0
2016-06-30,47.42,0.0,0.0
2015-12-31,43.44,0.0,0.0
2015-06-30,70.2,0.0,0.0
2014-12-31,98.4,0.0,0.0
2014-06-30,135.9,0.0,0.0
2013-12-31,420.6,0.0,0.0
2013-06-30,139.2,0.0,0.0
2012-12-31,132.0,0.0,0.0
2012-06-30,94.2,0.0,0.0
2011-12-31,88.2,0.0,0.0
2011-06-30,114.6,0.0,0.0
2010-12-31,75.0,0.0,0.0
