Safety Shot PE Ratio Historical Data,Safety Shot PE Ratio Historical Data,Safety Shot PE Ratio Historical Data,Safety Shot PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.47,,0.0
2024-09-30,1.22,$-0.70,0.0
2024-06-30,1.16,$-0.75,0.0
2024-03-31,2.39,$-0.60,0.0
2023-12-31,3.51,$-0.32,0.0
2023-09-30,1.5,$-0.71,0.0
2023-06-30,0.42,$-0.55,0.0
2023-03-31,0.45,$-0.61,0.0
2022-12-31,0.77,$-0.56,0.0
2022-09-30,0.78,$-0.17,0.0
2022-06-30,0.72,$-0.07,0.0
2022-03-31,1.1,0,0.0
2021-12-31,0.89,0,0.0
2021-09-30,1.41,0,0.0
