Organon PE Ratio Historical Data,Organon PE Ratio Historical Data,Organon PE Ratio Historical Data,Organon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.6,,4.68
2024-12-31,14.92,$3.33,4.48
2024-09-30,19.13,$5.04,3.8
2024-06-30,20.7,$3.89,5.32
2024-03-31,18.8,$4.09,4.6
2023-12-31,14.42,$4.00,3.61
2023-09-30,17.36,$2.29,7.58
2023-06-30,20.81,$2.95,7.05
2023-03-31,23.52,$2.92,8.05
2022-12-31,27.93,$3.59,7.78
2022-09-30,23.4,$3.96,5.91
2022-06-30,33.45,$4.34,7.71
2022-03-31,34.34,$5.10,6.73
