Emergent Biosolutions PE Ratio Historical Data,Emergent Biosolutions PE Ratio Historical Data,Emergent Biosolutions PE Ratio Historical Data,Emergent Biosolutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.73,,0.0
2024-12-31,9.56,$-3.73,0.0
2024-09-30,8.35,$-4.10,0.0
2024-06-30,6.82,$-11.24,0.0
2024-03-31,2.53,$-11.01,0.0
2023-12-31,2.4,$-14.83,0.0
2023-09-30,3.4,$-15.64,0.0
2023-06-30,7.35,$-12.08,0.0
2023-03-31,10.36,$-8.06,0.0
2022-12-31,11.81,$-4.48,0.0
2022-09-30,20.99,$0.78,26.91
2022-06-30,31.04,$1.69,18.37
2022-03-31,41.06,$2.91,14.11
2021-12-31,43.47,$4.26,10.2
2021-09-30,50.07,$4.20,11.92
2021-06-30,62.99,$5.54,11.37
2021-03-31,92.91,$7.18,12.94
2020-12-31,89.6,$5.66,15.83
2020-09-30,103.33,$3.11,33.23
2020-06-30,79.08,$3.21,24.64
2020-03-31,57.86,$1.30,44.51
2019-12-31,53.95,$1.03,52.38
2019-09-30,52.28,$0.07,746.86
2019-06-30,48.31,$-0.35,0.0
2019-03-31,50.52,$0.81,62.37
2018-12-31,59.28,$1.22,48.59
2018-09-30,65.83,$1.96,33.59
2018-06-30,50.49,$2.23,22.64
2018-03-31,52.65,$1.36,38.71
2017-12-31,46.47,$1.69,27.5
2017-09-30,40.45,$1.69,23.93
2017-06-30,33.91,$1.46,23.23
2017-03-31,29.04,$1.08,26.89
2016-12-31,32.84,$0.95,34.57
2016-09-30,31.53,$0.99,31.85
2016-06-30,26.35,$1.33,19.81
2016-03-31,34.06,$1.92,17.74
2015-12-31,37.49,$1.25,29.99
2015-09-30,26.7,$1.20,22.25
2015-06-30,30.88,$0.90,34.31
2015-03-31,26.95,$0.71,37.96
2014-12-31,25.52,$0.73,34.95
2014-09-30,19.97,$0.48,41.6
2014-06-30,21.05,$0.35,60.13
2014-03-31,23.68,$0.51,46.43
2013-12-31,21.54,$0.84,25.65
2013-09-30,17.85,$0.87,20.52
2013-06-30,13.51,$0.69,19.58
2013-03-31,13.1,$0.61,21.47
2012-12-31,15.03,$0.64,23.48
2012-09-30,13.32,$0.98,13.59
2012-06-30,14.2,$0.84,16.9
2012-03-31,14.99,$1.02,14.7
2011-12-31,15.78,$0.60,26.3
2011-09-30,14.46,$0.58,24.93
2011-06-30,21.13,$0.95,22.24
2011-03-31,22.64,$0.87,26.02
2010-12-31,21.98,$1.56,14.09
2010-09-30,16.17,$0.93,17.39
2010-06-30,15.31,$0.55,27.84
2010-03-31,15.73,$0.72,21.85
2009-12-31,12.73,$0.99,12.86
