908 Devices PE Ratio Historical Data,908 Devices PE Ratio Historical Data,908 Devices PE Ratio Historical Data,908 Devices PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.16,,0.0
2024-12-31,2.2,$-2.10,0.0
2024-09-30,3.47,$-1.77,0.0
2024-06-30,5.15,$-1.15,0.0
2024-03-31,7.55,$-1.07,0.0
2023-12-31,11.22,$-1.13,0.0
2023-09-30,6.66,$-1.21,0.0
2023-06-30,6.86,$-1.19,0.0
2023-03-31,8.6,$-1.16,0.0
2022-12-31,7.62,$-1.07,0.0
2022-09-30,16.45,$-0.88,0.0
2022-06-30,20.59,$-0.87,0.0
2022-03-31,19.01,$-0.88,0.0
2021-12-31,25.87,$-0.80,0.0
2021-09-30,32.52,$-2.16,0.0
