LENSAR PE Ratio Historical Data,LENSAR PE Ratio Historical Data,LENSAR PE Ratio Historical Data,LENSAR PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,15.4,,0.0
2024-12-31,8.94,$-2.72,0.0
2024-09-30,4.58,$-1.46,0.0
2024-06-30,4.5,$-1.56,0.0
2024-03-31,3.4,$-1.58,0.0
2023-12-31,3.51,$-1.79,0.0
2023-09-30,3.09,$-1.68,0.0
2023-06-30,4.25,$-1.84,0.0
2023-03-31,2.49,$-1.70,0.0
2022-12-31,2.96,$-1.97,0.0
2022-09-30,5.55,$-2.14,0.0
2022-06-30,6.51,$-2.40,0.0
2022-03-31,7.4,$-2.20,0.0
2021-12-31,5.99,$-2.09,0.0
2021-09-30,7.65,$-2.46,0.0
