Codexis PE Ratio Historical Data,Codexis PE Ratio Historical Data,Codexis PE Ratio Historical Data,Codexis PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.55,,0.0
2024-12-31,4.77,$-0.90,0.0
2024-09-30,3.08,$-0.87,0.0
2024-06-30,3.1,$-1.08,0.0
2024-03-31,3.49,$-0.93,0.0
2023-12-31,3.05,$-1.11,0.0
2023-09-30,1.89,$-1.20,0.0
2023-06-30,2.8,$-0.85,0.0
2023-03-31,4.14,$-0.72,0.0
2022-12-31,4.66,$-0.51,0.0
2022-09-30,6.06,$-0.48,0.0
2022-06-30,10.46,$-0.30,0.0
2022-03-31,20.62,$-0.33,0.0
2021-12-31,31.27,$-0.34,0.0
2021-09-30,23.26,$-0.24,0.0
2021-06-30,22.66,$-0.37,0.0
2021-03-31,22.89,$-0.41,0.0
2020-12-31,21.83,$-0.40,0.0
2020-09-30,11.74,$-0.35,0.0
2020-06-30,11.4,$-0.24,0.0
2020-03-31,11.16,$-0.25,0.0
2019-12-31,15.99,$-0.21,0.0
2019-09-30,13.72,$-0.21,0.0
2019-06-30,18.43,$-0.26,0.0
2019-03-31,20.53,$-0.21,0.0
2018-12-31,16.7,$-0.22,0.0
2018-09-30,17.15,$-0.19,0.0
2018-06-30,14.4,$-0.36,0.0
2018-03-31,11.0,$-0.42,0.0
2017-12-31,8.35,$-0.50,0.0
2017-09-30,6.65,$-0.65,0.0
2017-06-30,5.45,$-0.41,0.0
2017-03-31,4.8,$-0.23,0.0
2016-12-31,4.6,$-0.22,0.0
2016-09-30,4.44,$-0.14,0.0
2016-06-30,4.03,$-0.04,0.0
2016-03-31,3.11,$-0.23,0.0
2015-12-31,4.23,$-0.20,0.0
2015-09-30,3.39,$-0.14,0.0
2015-06-30,3.89,$-0.39,0.0
2015-03-31,4.56,$-0.47,0.0
2014-12-31,2.52,$-0.50,0.0
2014-09-30,2.33,$-0.77,0.0
2014-06-30,1.46,$-0.89,0.0
2014-03-31,2.04,$-1.00,0.0
2013-12-31,1.4,$-1.08,0.0
2013-09-30,1.76,$-1.23,0.0
2013-06-30,2.21,$-1.05,0.0
2013-03-31,2.39,$-0.87,0.0
2012-12-31,2.21,$-0.83,0.0
2012-09-30,3.03,$-0.57,0.0
2012-06-30,3.71,$-0.59,0.0
2012-03-31,3.65,$-0.58,0.0
2011-12-31,5.3,$-0.47,0.0
2011-09-30,4.57,$-0.33,0.0
2011-06-30,9.63,$-0.33,0.0
2011-03-31,11.82,$-0.34,0.0
