Franklin Covey PE Ratio Historical Data,Franklin Covey PE Ratio Historical Data,Franklin Covey PE Ratio Historical Data,Franklin Covey PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,28.52,,19.4
2024-11-30,36.38,$1.47,24.75
2024-08-31,40.26,$1.74,23.14
2024-05-31,37.0,$1.34,27.61
2024-02-29,38.18,$1.23,31.04
2023-11-30,38.88,$1.29,30.14
2023-08-31,42.67,$1.25,34.14
2023-05-31,36.92,$1.15,32.1
2023-02-28,46.87,$1.34,34.98
2022-11-30,51.96,$1.35,38.49
2022-08-31,47.57,$1.30,36.59
2022-05-31,38.31,$1.04,36.84
2022-02-28,46.1,$1.43,32.24
2021-11-30,43.98,$1.30,33.83
2021-08-31,43.47,$0.97,44.81
2021-05-31,31.0,$0.91,34.07
2021-02-28,25.71,$-0.78,0.0
2020-11-30,21.97,$-0.70,0.0
2020-08-31,19.74,$-0.68,0.0
2020-05-31,21.3,$-0.34,0.0
2020-02-29,31.45,$0.31,101.45
2019-11-30,36.91,$-0.02,0.0
2019-08-31,36.79,$-0.08,0.0
2019-05-31,31.1,$-0.36,0.0
2019-02-28,26.02,$-0.40,0.0
2018-11-30,23.69,$-0.35,0.0
2018-08-31,25.6,$-0.42,0.0
2018-05-31,28.05,$-0.22,0.0
2018-02-28,25.9,$-0.37,0.0
2017-11-30,20.1,$-0.41,0.0
2017-08-31,18.8,$-0.53,0.0
2017-05-31,19.75,$-0.31,0.0
2017-02-28,17.95,$-0.05,0.0
2016-11-30,20.8,$0.16,130.0
2016-08-31,16.24,$0.50,32.48
2016-05-31,15.3,$0.41,37.32
2016-02-29,17.27,$0.55,31.4
2015-11-30,15.33,$0.60,25.55
2015-08-31,16.73,$0.66,25.35
2015-05-31,19.99,$0.93,21.49
2015-02-28,17.9,$0.97,18.45
2014-11-30,18.88,$1.07,17.64
2014-08-31,19.07,$1.06,17.99
2014-05-31,21.75,$0.80,27.19
2014-02-28,20.95,$0.82,25.55
2013-11-30,20.35,$0.78,26.09
2013-08-31,15.71,$0.83,18.93
2013-05-31,13.79,$0.54,25.54
2013-02-28,13.82,$0.50,27.64
2012-11-30,12.33,$0.48,25.69
2012-08-31,10.35,$0.42,24.64
2012-05-31,9.23,$0.40,23.08
2012-02-29,8.8,$0.35,25.14
2011-11-30,9.37,$0.31,30.23
2011-08-31,9.52,$0.27,35.26
2011-05-31,9.14,$0.07,130.57
2011-02-28,8.13,$0.04,203.25
2010-11-30,8.03,$-0.01,0.0
2010-08-31,6.1,$-0.05,0.0
2010-05-31,6.93,$-0.35,0.0
2010-02-28,5.85,$-0.74,0.0
2009-11-30,5.39,$-0.76,0.0
