Standard BioTools PE Ratio Historical Data,Standard BioTools PE Ratio Historical Data,Standard BioTools PE Ratio Historical Data,Standard BioTools PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.16,,0.0
2024-12-31,1.75,$-0.46,0.0
2024-09-30,1.93,$-0.71,0.0
2024-06-30,1.77,$-0.91,0.0
2024-03-31,2.71,$-1.01,0.0
2023-12-31,2.21,$-0.95,0.0
2023-09-30,2.9,$-0.96,0.0
2023-06-30,1.93,$-1.06,0.0
2023-03-31,1.95,$-1.66,0.0
2022-12-31,1.17,$-2.44,0.0
2022-09-30,1.1,$-2.30,0.0
2022-06-30,1.6,$-2.11,0.0
2022-03-31,3.59,$-1.52,0.0
2021-12-31,3.92,$-0.78,0.0
2021-09-30,6.59,$-0.90,0.0
2021-06-30,6.16,$-0.80,0.0
2021-03-31,4.52,$-0.75,0.0
2020-12-31,6.0,$-0.73,0.0
2020-09-30,7.43,$-0.67,0.0
2020-06-30,4.01,$-0.78,0.0
2020-03-31,2.54,$-0.80,0.0
2019-12-31,3.48,$-1.01,0.0
2019-09-30,4.63,$-1.19,0.0
2019-06-30,12.32,$-1.38,0.0
2019-03-31,13.29,$-1.60,0.0
2018-12-31,8.62,$-1.50,0.0
2018-09-30,7.49,$-1.41,0.0
2018-06-30,5.96,$-1.49,0.0
2018-03-31,5.84,$-1.65,0.0
2017-12-31,5.89,$-1.90,0.0
2017-09-30,5.04,$-2.24,0.0
2017-06-30,4.04,$-2.46,0.0
2017-03-31,5.69,$-2.52,0.0
2016-12-31,7.28,$-2.62,0.0
2016-09-30,8.01,$-2.46,0.0
2016-06-30,9.03,$-2.10,0.0
2016-03-31,8.07,$-1.99,0.0
2015-12-31,10.81,$-1.86,0.0
2015-09-30,8.11,$-1.80,0.0
2015-06-30,24.2,$-1.97,0.0
2015-03-31,42.1,$-1.89,0.0
2014-12-31,33.73,$-1.90,0.0
2014-09-30,24.5,$-1.66,0.0
2014-06-30,29.4,$-1.34,0.0
2014-03-31,44.07,$-1.05,0.0
2013-12-31,38.28,$-0.62,0.0
2013-09-30,21.94,$-0.61,0.0
2013-06-30,17.46,$-0.62,0.0
2013-03-31,18.51,$-0.68,0.0
2012-12-31,14.31,$-0.87,0.0
2012-09-30,17.0,$-0.90,0.0
2012-06-30,15.04,$-0.94,0.0
2012-03-31,15.73,$-1.08,0.0
2011-12-31,13.16,$-2.35,0.0
