Commercial Vehicle PE Ratio Historical Data,Commercial Vehicle PE Ratio Historical Data,Commercial Vehicle PE Ratio Historical Data,Commercial Vehicle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.5,,1.47
2024-09-30,3.25,$1.02,3.19
2024-06-30,4.9,$0.96,5.1
2024-03-31,6.43,$1.31,4.91
2023-12-31,7.01,$1.48,4.74
2023-09-30,7.76,$-0.20,0.0
2023-06-30,11.1,$-0.31,0.0
2023-03-31,7.3,$-0.53,0.0
2022-12-31,6.81,$-0.67,0.0
2022-09-30,4.5,$0.39,11.54
2022-06-30,5.84,$0.51,11.45
2022-03-31,8.45,$0.59,14.32
2021-12-31,8.06,$0.73,11.04
2021-09-30,9.46,$0.52,18.19
2021-06-30,10.63,$0.42,25.31
2021-03-31,9.65,$-0.14,0.0
2020-12-31,8.65,$-1.20,0.0
2020-09-30,6.53,$-1.31,0.0
2020-06-30,2.89,$-1.16,0.0
2020-03-31,1.51,$-0.53,0.0
2019-12-31,6.35,$0.63,10.08
2019-09-30,7.21,$1.16,6.22
2019-06-30,8.02,$1.29,6.22
2019-03-31,7.67,$1.49,5.15
2018-12-31,5.7,$1.45,3.93
2018-09-30,9.16,$0.92,9.96
2018-06-30,7.34,$0.67,10.96
2018-03-31,7.75,$0.24,32.29
2017-12-31,10.69,$-0.06,0.0
2017-09-30,7.35,$0.19,38.68
2017-06-30,8.45,$0.07,120.71
2017-03-31,6.77,$0.16,42.31
2016-12-31,5.53,$0.23,24.04
2016-09-30,5.78,$0.14,41.29
2016-06-30,5.2,$0.19,27.37
2016-03-31,2.65,$0.21,12.62
2015-12-31,2.76,$0.24,11.5
2015-09-30,4.03,$0.47,8.57
2015-06-30,7.21,$0.42,17.17
2015-03-31,6.44,$0.40,16.1
2014-12-31,6.66,$0.26,25.62
2014-09-30,6.18,$0.15,41.2
2014-06-30,10.04,$-0.14,0.0
2014-03-31,9.12,$-0.29,0.0
2013-12-31,7.27,$-0.43,0.0
2013-09-30,7.95,$-0.67,0.0
2013-06-30,7.46,$0.65,11.48
2013-03-31,7.8,$1.17,6.67
2012-12-31,8.21,$1.75,4.69
2012-09-30,7.35,$2.31,3.18
2012-06-30,8.62,$1.50,5.75
2012-03-31,12.21,$0.96,12.72
2011-12-31,9.04,$0.66,13.7
2011-09-30,6.57,$0.44,14.93
2011-06-30,14.19,$0.22,64.5
2011-03-31,17.84,$0.32,55.75
2010-12-31,16.25,$0.23,70.65
2010-09-30,10.18,$-0.99,0.0
2010-06-30,10.21,$-1.76,0.0
2010-03-31,7.14,$-2.81,0.0
2009-12-31,5.99,$-3.73,0.0
