Grace Therapeutics PE Ratio Historical Data,Grace Therapeutics PE Ratio Historical Data,Grace Therapeutics PE Ratio Historical Data,Grace Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.56,,0.0
2024-12-31,3.74,$-1.16,0.0
2024-09-30,3.0,$-1.01,0.0
2024-06-30,2.92,$-1.14,0.0
2024-03-31,3.43,$-1.44,0.0
2023-12-31,2.89,$-5.08,0.0
2023-09-30,2.78,$-5.41,0.0
2023-06-30,3.15,$-5.64,0.0
2023-03-31,2.76,$-5.70,0.0
2022-12-31,3.01,$-2.04,0.0
2022-09-30,3.5,$-2.04,0.0
2022-06-30,5.15,$-1.20,0.0
2022-03-31,7.32,$-1.08,0.0
2021-12-31,7.56,$-2.28,0.0
2021-09-30,12.0,$-2.70,0.0
2021-06-30,26.95,$-5.28,0.0
2021-03-31,28.8,$-7.20,0.0
2020-12-31,15.6,$0.48,32.5
2020-09-30,9.61,$-5.28,0.0
2020-06-30,22.52,$-15.36,0.0
2020-03-31,18.22,$-18.24,0.0
2019-12-31,117.6,$-32.63,0.0
2019-09-30,90.72,$-28.31,0.0
2019-06-30,54.72,$-38.39,0.0
2019-03-31,48.96,$-41.75,0.0
2018-12-31,39.93,$-79.66,0.0
2018-09-30,61.92,$-92.14,0.0
2018-06-30,27.36,$-81.58,0.0
2018-03-31,48.96,$-79.66,0.0
2017-12-31,45.25,$-33.59,0.0
2017-09-30,68.16,$-18.72,0.0
2017-06-30,63.36,$-6.72,0.0
2017-02-28,60.0,0,0.0
2016-11-30,67.2,$-6.24,0.0
2016-08-31,63.84,$-6.24,0.0
2016-05-31,72.0,$-13.92,0.0
2016-03-31,72.96,$-14.40,0.0
2016-02-29,72.0,$-12.96,0.0
2015-12-31,122.4,$-22.56,0.0
2015-09-30,129.07,$-0.48,0.0
2015-06-30,151.2,$-14.40,0.0
2015-03-31,230.16,$-4.80,0.0
2014-12-31,240.0,$-4.80,0.0
2014-09-30,369.6,$-19.20,0.0
2014-06-30,489.6,$-28.79,0.0
2014-03-31,551.66,$-52.79,0.0
2014-02-28,609.6,$-57.59,0.0
2013-12-31,600.0,$-71.99,0.0
