Planet Labs PBC PE Ratio Historical Data,Planet Labs PBC PE Ratio Historical Data,Planet Labs PBC PE Ratio Historical Data,Planet Labs PBC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.24,,0.0
2024-10-31,2.21,$-0.41,0.0
2024-07-31,2.54,$-0.47,0.0
2024-04-30,1.69,$-0.48,0.0
2024-01-31,2.26,$-0.51,0.0
2023-10-31,2.16,$-0.54,0.0
2023-07-31,3.72,$-0.56,0.0
2023-04-30,4.08,$-0.57,0.0
2023-01-31,4.95,$-0.61,0.0
2022-10-31,5.25,$-0.73,0.0
2022-07-31,5.33,$-1.96,0.0
2022-04-30,5.03,$-1.81,0.0
2022-01-31,6.1,$-1.64,0.0
2021-10-31,10.13,$-1.38,0.0
2021-09-30,9.91,0,0.0
