Exagen PE Ratio Historical Data,Exagen PE Ratio Historical Data,Exagen PE Ratio Historical Data,Exagen PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.69,,0.0
2024-12-31,4.1,$-0.63,0.0
2024-09-30,3.09,$-0.94,0.0
2024-06-30,1.82,$-0.97,0.0
2024-03-31,1.59,$-1.09,0.0
2023-12-31,1.99,$-1.34,0.0
2023-09-30,2.42,$-1.86,0.0
2023-06-30,2.9,$-2.02,0.0
2023-03-31,2.43,$-2.52,0.0
2022-12-31,2.4,$-2.68,0.0
2022-09-30,2.71,$-2.27,0.0
2022-06-30,5.74,$-2.22,0.0
2022-03-31,8.03,$-1.82,0.0
2021-12-31,11.63,$-1.70,0.0
2021-09-30,13.6,$-1.55,0.0
2021-06-30,14.99,$-1.47,0.0
2021-03-31,17.5,$-1.36,0.0
2020-12-31,13.2,$-1.32,0.0
2020-09-30,10.84,$-1.32,0.0
2020-06-30,12.41,$-12.27,0.0
