Cerus PE Ratio Historical Data,Cerus PE Ratio Historical Data,Cerus PE Ratio Historical Data,Cerus PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.53,,0.0
2024-12-31,1.54,$-0.11,0.0
2024-09-30,1.74,$-0.11,0.0
2024-06-30,1.76,$-0.13,0.0
2024-03-31,1.89,$-0.17,0.0
2023-12-31,2.16,$-0.21,0.0
2023-09-30,1.62,$-0.28,0.0
2023-06-30,2.46,$-0.29,0.0
2023-03-31,2.97,$-0.27,0.0
2022-12-31,3.65,$-0.25,0.0
2022-09-30,3.6,$-0.22,0.0
2022-06-30,5.29,$-0.24,0.0
2022-03-31,5.49,$-0.28,0.0
2021-12-31,6.81,$-0.31,0.0
2021-09-30,6.09,$-0.35,0.0
2021-06-30,5.91,$-0.36,0.0
2021-03-31,6.01,$-0.36,0.0
2020-12-31,6.92,$-0.36,0.0
2020-09-30,6.26,$-0.39,0.0
2020-06-30,6.6,$-0.44,0.0
2020-03-31,4.65,$-0.48,0.0
2019-12-31,4.22,$-0.52,0.0
2019-09-30,5.16,$-0.52,0.0
2019-06-30,5.62,$-0.50,0.0
2019-03-31,6.23,$-0.47,0.0
2018-12-31,5.07,$-0.44,0.0
2018-09-30,7.21,$-0.42,0.0
2018-06-30,6.67,$-0.43,0.0
2018-03-31,5.48,$-0.49,0.0
2017-12-31,3.38,$-0.56,0.0
2017-09-30,2.73,$-0.59,0.0
2017-06-30,2.51,$-0.61,0.0
2017-03-31,4.45,$-0.63,0.0
2016-12-31,4.35,$-0.62,0.0
2016-09-30,6.21,$-0.64,0.0
2016-06-30,6.24,$-0.67,0.0
2016-03-31,5.93,$-0.66,0.0
2015-12-31,6.32,$-0.66,0.0
2015-09-30,4.54,$-0.76,0.0
2015-06-30,5.19,$-0.74,0.0
2015-03-31,4.17,$-0.73,0.0
2014-12-31,6.24,$-0.68,0.0
2014-09-30,4.01,$-0.53,0.0
2014-06-30,4.15,$-0.67,0.0
2014-03-31,4.8,$-0.60,0.0
2013-12-31,6.45,$-0.65,0.0
2013-09-30,6.72,$-0.62,0.0
2013-06-30,4.42,$-0.41,0.0
2013-03-31,4.42,$-0.42,0.0
2012-12-31,3.16,$-0.42,0.0
2012-09-30,3.4,$-0.51,0.0
2012-06-30,3.32,$-0.38,0.0
2012-03-31,4.02,$-0.41,0.0
2011-12-31,2.8,$-0.35,0.0
2011-09-30,2.12,$-0.25,0.0
2011-06-30,3.0,$-0.40,0.0
2011-03-31,2.91,$-0.41,0.0
2010-12-31,2.46,$-0.43,0.0
2010-09-30,3.84,$-0.50,0.0
2010-06-30,3.16,$-0.56,0.0
2010-03-31,2.79,$-0.61,0.0
2009-12-31,1.99,$-0.71,0.0
