Sky Harbour Group PE Ratio Historical Data,Sky Harbour Group PE Ratio Historical Data,Sky Harbour Group PE Ratio Historical Data,Sky Harbour Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.7,,0.0
2024-09-30,11.04,$-2.07,0.0
2024-06-30,9.25,$-1.34,0.0
2024-03-31,12.77,$-1.46,0.0
2023-12-31,9.66,$-1.09,0.0
2023-09-30,4.49,$-0.44,0.0
2023-06-30,4.73,$-0.47,0.0
2023-03-31,7.19,$-0.50,0.0
2022-12-31,2.66,$-1.53,0.0
2022-09-30,3.68,$-1.57,0.0
2022-06-30,5.66,$-1.53,0.0
2022-03-31,14.92,$-1.44,0.0
2021-12-31,10.17,0,0.0
2021-09-30,10.15,0,0.0
