Cango PE Ratio Historical Data,Cango PE Ratio Historical Data,Cango PE Ratio Historical Data,Cango PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.94,,23.18
2024-09-30,1.78,$0.17,10.47
2024-06-30,1.67,$0.02,83.5
2024-03-31,1.52,$-0.04,0.0
2023-12-31,1.02,$-0.07,0.0
2023-09-30,1.19,$-0.54,0.0
2023-06-30,1.17,$-0.61,0.0
2023-03-31,1.14,$-0.96,0.0
2022-12-31,1.31,$-1.19,0.0
2022-09-30,1.43,$-0.45,0.0
2022-06-30,1.39,$-0.77,0.0
2022-03-31,0.91,$0.12,7.6
2021-12-31,1.11,$-0.01,0.0
2021-09-30,1.42,$1.44,0.98
2021-06-30,1.97,$3.62,0.54
2021-03-31,2.96,$3.11,0.95
2020-12-31,2.21,$3.35,0.66
2020-09-30,1.75,$1.85,0.95
2020-06-30,1.91,$0.23,8.31
2020-03-31,1.68,$0.25,6.73
2019-12-31,2.75,$0.37,7.44
2019-09-30,1.62,$0.33,4.91
2019-06-30,2.08,$0.33,6.31
