Lear PE Ratio Historical Data,Lear PE Ratio Historical Data,Lear PE Ratio Historical Data,Lear PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,95.78,,10.71
2024-12-31,94.7,$8.94,10.59
2024-09-30,108.33,$9.51,11.39
2024-06-30,112.59,$9.35,12.04
2024-03-31,142.83,$9.17,15.58
2023-12-31,138.46,$9.68,14.3
2023-09-30,130.84,$9.47,13.82
2023-06-30,139.22,$8.76,15.89
2023-03-31,134.51,$7.06,19.05
2022-12-31,118.93,$5.47,21.74
2022-09-30,114.13,$3.86,29.57
2022-06-30,119.38,$1.88,63.5
2022-03-31,134.48,$3.63,37.05
2021-12-31,171.58,$6.17,27.81
2021-09-30,146.15,$9.14,15.99
2021-06-30,163.19,$12.47,13.09
2021-03-31,168.53,$4.69,35.93
2020-12-31,147.65,$2.59,57.01
2020-09-30,101.09,$1.76,57.44
2020-06-30,101.06,$2.45,41.25
2020-03-31,75.32,$10.26,7.34
2019-12-31,126.3,$12.73,9.92
2019-09-30,107.86,$13.62,7.92
2019-06-30,126.52,$13.84,9.14
2019-03-31,122.59,$15.75,7.78
2018-12-31,110.44,$17.18,6.43
2018-09-30,129.66,$19.59,6.62
2018-06-30,165.45,$19.75,8.38
2018-03-31,165.13,$19.41,8.51
2017-12-31,156.18,$18.60,8.4
2017-09-30,152.58,$16.04,9.51
2017-06-30,124.82,$15.06,8.29
2017-03-31,123.98,$14.39,8.62
2016-12-31,115.51,$13.33,8.67
2016-09-30,105.55,$13.16,8.02
2016-06-30,88.38,$12.52,7.06
2016-03-31,96.3,$11.03,8.73
2015-12-31,106.09,$9.60,11.05
2015-09-30,93.76,$9.77,9.6
2015-06-30,96.53,$9.15,10.55
2015-03-31,95.08,$8.63,11.02
2014-12-31,83.97,$8.24,10.19
2014-09-30,73.82,$5.88,12.55
2014-06-30,76.16,$5.54,13.75
2014-03-31,71.23,$5.33,13.36
2013-12-31,68.72,$4.99,13.77
2013-09-30,60.61,$13.11,4.62
2013-06-30,51.08,$12.96,3.94
2013-03-31,46.22,$12.81,3.61
2012-12-31,39.33,$13.00,3.03
2012-09-30,31.63,$5.02,6.3
2012-06-30,31.47,$4.74,6.64
2012-03-31,38.63,$4.94,7.82
2011-12-31,32.97,$5.06,6.52
2011-09-30,35.43,$5.12,6.92
2011-06-30,44.05,$5.05,8.72
2011-03-31,40.15,$4.88,8.23
2010-12-31,40.45,$4.05,9.99
2010-09-30,32.35,$10.92,2.96
