Evoke Pharma PE Ratio Historical Data,Evoke Pharma PE Ratio Historical Data,Evoke Pharma PE Ratio Historical Data,Evoke Pharma PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.8,,0.0
2024-12-31,4.42,$-3.91,0.0
2024-09-30,4.76,$-10.99,0.0
2024-06-30,6.35,$-16.18,0.0
2024-03-31,7.32,$-21.97,0.0
2023-12-31,12.6,$-27.97,0.0
2023-09-30,16.56,$-27.25,0.0
2023-06-30,19.8,$-28.33,0.0
2023-03-31,22.8,$-30.13,0.0
2022-12-31,32.16,$-32.18,0.0
2022-09-30,22.44,$-33.02,0.0
2022-06-30,38.88,$-34.46,0.0
2022-03-31,71.28,$-36.03,0.0
2021-12-31,79.2,$-37.47,0.0
2021-09-30,187.2,$-43.23,0.0
2021-06-30,197.28,$-46.12,0.0
2021-03-31,263.52,$-76.38,0.0
2020-12-31,371.52,$-74.94,0.0
2020-09-30,675.36,$-70.62,0.0
2020-06-30,509.76,$-69.17,0.0
2020-03-31,167.04,$-41.79,0.0
2019-12-31,233.28,$-47.56,0.0
2019-09-30,123.84,$-53.32,0.0
2019-06-30,90.0,$-56.21,0.0
2019-03-31,216.0,$-63.41,0.0
2018-12-31,357.12,$-66.29,0.0
2018-09-30,429.12,$-61.97,0.0
2018-06-30,360.0,$-98.00,0.0
2018-03-31,299.52,$-105.20,0.0
2017-12-31,325.44,$-139.79,0.0
2017-09-30,480.96,$-147.00,0.0
2017-06-30,368.44,$-139.79,0.0
2017-03-31,446.4,$-171.50,0.0
2016-12-31,290.88,$-183.03,0.0
2016-09-30,325.44,$-219.06,0.0
2016-06-30,986.4,$-237.79,0.0
2016-03-31,732.96,$-253.64,0.0
2015-12-31,475.2,$-272.38,0.0
2015-09-30,419.04,$-288.23,0.0
2015-06-30,753.12,$-318.50,0.0
2015-03-31,1015.2,$-328.58,0.0
2014-12-31,849.6,$-315.61,0.0
2014-09-30,791.93,$-285.35,0.0
2014-06-30,1164.96,$-253.64,0.0
