Sotera Health PE Ratio Historical Data,Sotera Health PE Ratio Historical Data,Sotera Health PE Ratio Historical Data,Sotera Health PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.97,,79.8
2024-12-31,13.68,$0.15,91.2
2024-09-30,16.7,$0.25,66.8
2024-06-30,11.87,$0.14,84.79
2024-03-31,12.01,$0.19,63.21
2023-12-31,16.85,$0.18,93.61
2023-09-30,14.98,$-1.10,0.0
2023-06-30,18.84,$-0.96,0.0
2023-03-31,17.91,$-0.93,0.0
2022-12-31,8.33,$-0.83,0.0
2022-09-30,6.82,$0.44,15.5
2022-06-30,19.59,$0.45,43.53
2022-03-31,21.66,$0.49,44.2
2021-12-31,23.55,$0.42,56.07
2021-09-30,26.15,$0.12,217.92
