Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data,Truist Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,41.33,,12.41
2024-12-31,43.38,$3.33,13.03
2024-09-30,42.28,$-1.43,0.0
2024-06-30,37.93,$-1.62,0.0
2024-03-31,37.56,$-1.32,0.0
2023-12-31,35.06,$-1.08,0.0
2023-09-30,26.69,$3.97,6.72
2023-06-30,27.86,$4.32,6.45
2023-03-31,30.7,$4.49,6.84
2022-12-31,38.33,$4.43,8.65
2022-09-30,38.32,$4.36,8.79
2022-06-30,41.32,$4.41,9.37
2022-03-31,48.89,$4.48,10.91
2021-12-31,50.11,$4.47,11.21
2021-09-30,49.82,$4.24,11.75
2021-06-30,46.76,$3.83,12.21
2021-03-31,48.78,$3.34,14.6
2020-12-31,39.75,$3.09,12.86
2020-09-30,31.25,$2.94,10.63
2020-06-30,30.49,$3.10,9.83
2020-03-31,24.69,$3.52,7.02
2019-12-31,44.73,$3.76,11.9
2019-09-30,42.04,$3.98,10.56
2019-06-30,38.33,$4.04,9.49
2019-03-31,36.0,$3.94,9.14
2018-12-31,33.25,$3.91,8.5
2018-09-30,36.96,$3.71,9.96
2018-06-30,38.1,$3.44,11.08
2018-03-31,39.05,$3.22,12.13
2017-12-31,37.04,$2.74,13.52
2017-09-30,34.72,$2.69,12.91
2017-06-30,33.36,$2.68,12.45
2017-03-31,32.61,$2.57,12.69
2016-12-31,34.08,$2.78,12.26
2016-09-30,27.13,$2.70,10.05
2016-06-30,25.41,$2.61,9.73
2016-03-31,23.54,$2.57,9.16
2015-12-31,26.53,$2.57,10.32
2015-09-30,24.8,$2.69,9.22
2015-06-30,27.89,$2.76,10.11
2015-03-31,26.79,$2.72,9.85
2014-12-31,26.55,$2.74,9.69
2014-09-30,25.25,$2.73,9.25
2014-06-30,26.58,$2.39,11.12
2014-03-31,26.9,$2.58,10.43
2013-12-31,24.84,$2.19,11.34
2013-09-30,22.31,$2.15,10.38
2013-06-30,22.25,$2.44,9.12
2013-03-31,20.47,$2.39,8.56
2012-12-31,18.72,$2.70,6.93
2012-09-30,21.19,$2.54,8.34
2012-06-30,19.59,$2.40,8.16
2012-03-31,19.81,$2.12,9.34
2011-12-31,15.78,$1.83,8.63
2011-09-30,13.28,$1.58,8.41
2011-06-30,16.62,$1.36,12.22
2011-03-31,16.89,$1.22,13.84
2010-12-31,16.09,$1.17,13.75
2010-09-30,14.64,$1.14,12.84
2010-06-30,15.91,$1.07,14.87
2010-03-31,19.5,$0.97,20.1
2009-12-31,15.19,$1.18,12.87
