AgriFORCE Growing Systems PE Ratio Historical Data,AgriFORCE Growing Systems PE Ratio Historical Data,AgriFORCE Growing Systems PE Ratio Historical Data,AgriFORCE Growing Systems PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.46,,0.0
2024-09-30,0.05,$-41.00,0.0
2024-06-30,0.09,$-438.00,0.0
2024-03-31,0.18,$-929.00,0.0
2023-12-31,0.47,"$-1,253.00",0.0
2023-09-30,0.11,"$-1,903.00",0.0
2023-06-30,0.23,"$-2,350.00",0.0
2023-03-31,0.69,"$-2,900.00",0.0
2022-12-31,1.13,"$-3,650.00",0.0
2022-09-30,1.5,"$-4,000.00",0.0
2022-06-30,2.31,"$-3,850.00",0.0
