GoHealth PE Ratio Historical Data,GoHealth PE Ratio Historical Data,GoHealth PE Ratio Historical Data,GoHealth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.74,,0.0
2024-12-31,13.39,$-1.72,0.0
2024-09-30,9.38,$-3.50,0.0
2024-06-30,9.72,$-6.57,0.0
2024-03-31,10.51,$-7.14,0.0
2023-12-31,13.34,$-7.22,0.0
2023-09-30,14.49,$-14.00,0.0
2023-06-30,19.71,$-14.84,0.0
2023-03-31,16.28,$-16.82,0.0
2022-12-31,10.45,$-17.49,0.0
2022-09-30,5.33,$-30.73,0.0
2022-06-30,8.97,$-29.99,0.0
2022-03-31,17.7,$-26.54,0.0
2021-12-31,56.85,$-25.04,0.0
2021-09-30,75.45,$1.35,55.92
2021-06-30,168.15,$-5.70,0.0
