Helius Medical Technologies PE Ratio Historical Data,Helius Medical Technologies PE Ratio Historical Data,Helius Medical Technologies PE Ratio Historical Data,Helius Medical Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.42,,0.0
2024-09-30,0.56,$-6.18,0.0
2024-06-30,0.98,$-10.68,0.0
2024-03-31,5.83,$-13.04,0.0
2023-12-31,8.04,$-14.46,0.0
2023-09-30,9.49,$-21.49,0.0
2023-06-30,9.58,$-22.00,0.0
2023-03-31,12.74,$-67.50,0.0
2022-12-31,15.35,$-120.50,0.0
2022-09-30,13.78,$-177.50,0.0
2022-06-30,59.0,$-272.00,0.0
2022-03-31,165.5,$-352.50,0.0
2021-12-31,259.5,$-377.50,0.0
2021-09-30,720.0,$-400.50,0.0
2021-06-30,849.5,$-439.86,0.0
2021-03-31,899.5,$-450.72,0.0
2020-12-31,659.05,$-630.46,0.0
2020-09-30,677.08,$-874.13,0.0
2020-06-30,746.73,"$-1,118.88",0.0
2020-03-31,577.5,$-996.50,0.0
2019-12-31,1697.5,$-839.16,0.0
2019-09-30,2887.5,$-891.61,0.0
2019-06-30,3850.0,$-839.16,0.0
2019-03-31,11655.0,"$-2,167.83",0.0
