OncoCyte PE Ratio Historical Data,OncoCyte PE Ratio Historical Data,OncoCyte PE Ratio Historical Data,OncoCyte PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.3,,0.0
2024-09-30,2.85,$-2.47,0.0
2024-06-30,2.95,$-2.30,0.0
2024-03-31,2.93,$-3.01,0.0
2023-12-31,2.5,$-1.48,0.0
2023-09-30,3.12,$-1.48,0.0
2023-06-30,4.6,$-2.27,0.0
2023-03-31,7.09,$-2.60,0.0
2022-12-31,6.42,$-5.20,0.0
2022-09-30,14.6,$-13.00,0.0
2022-06-30,17.99,$-14.40,0.0
2022-03-31,29.8,$-15.40,0.0
2021-12-31,43.4,$-14.20,0.0
2021-09-30,71.2,$-8.20,0.0
2021-06-30,114.8,$-7.20,0.0
2021-03-31,103.8,$-7.60,0.0
2020-12-31,47.8,$-9.20,0.0
2020-09-30,27.8,$-10.40,0.0
2020-06-30,38.2,$-10.40,0.0
2020-03-31,49.0,$-9.60,0.0
2019-12-31,45.0,$-8.60,0.0
2019-09-30,42.0,$-7.80,0.0
2019-06-30,49.8,$-7.20,0.0
2019-03-31,79.0,$-7.60,0.0
2018-12-31,27.6,$-8.40,0.0
2018-09-30,50.0,$-8.80,0.0
2018-06-30,51.0,$-11.80,0.0
2018-03-31,42.0,$-12.00,0.0
2017-12-31,93.0,$-12.80,0.0
2017-09-30,151.0,$-12.40,0.0
2017-06-30,104.0,$-10.00,0.0
2017-03-31,119.0,$-9.40,0.0
2016-12-31,141.0,$-8.60,0.0
