Taysha Gene Therapies PE Ratio Historical Data,Taysha Gene Therapies PE Ratio Historical Data,Taysha Gene Therapies PE Ratio Historical Data,Taysha Gene Therapies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.7,,0.0
2024-12-31,1.73,$-0.36,0.0
2024-09-30,2.01,$0.63,3.19
2024-06-30,2.24,$-0.20,0.0
2024-03-31,2.87,$-0.49,0.0
2023-12-31,1.77,$-0.67,0.0
2023-09-30,3.16,$-2.58,0.0
2023-06-30,0.66,$-2.29,0.0
2023-03-31,0.8,$-2.75,0.0
2022-12-31,2.26,$-3.78,0.0
2022-09-30,1.93,$-4.11,0.0
2022-06-30,3.72,$-4.82,0.0
2022-03-31,6.52,$-5.07,0.0
2021-12-31,11.65,$-4.63,0.0
2021-09-30,18.62,$-3.31,0.0
2021-06-30,21.2,$-3.24,0.0
