Biodesix PE Ratio Historical Data,Biodesix PE Ratio Historical Data,Biodesix PE Ratio Historical Data,Biodesix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.82,,0.0
2024-12-31,1.53,$-0.35,0.0
2024-09-30,1.78,$-0.39,0.0
2024-06-30,1.53,$-0.46,0.0
2024-03-31,1.43,$-0.55,0.0
2023-12-31,1.84,$-0.65,0.0
2023-09-30,1.65,$-0.90,0.0
2023-06-30,1.23,$-1.10,0.0
2023-03-31,1.86,$-1.33,0.0
2022-12-31,2.3,$-1.59,0.0
2022-09-30,1.27,$-1.73,0.0
2022-06-30,1.64,$-1.80,0.0
2022-03-31,1.69,$-1.81,0.0
2021-12-31,5.29,$-1.57,0.0
2021-09-30,8.22,$-1.33,0.0
