Beachbody PE Ratio Historical Data,Beachbody PE Ratio Historical Data,Beachbody PE Ratio Historical Data,Beachbody PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.75,,0.0
2024-09-30,5.72,$-15.75,0.0
2024-06-30,8.43,$-19.50,0.0
2024-03-31,9.6,$-21.91,0.0
2023-12-31,8.29,$-24.31,0.0
2023-09-30,0.3,$-21.50,0.0
2023-06-30,0.42,$-21.50,0.0
2023-03-31,0.48,$-24.50,0.0
2022-12-31,0.53,$-32.00,0.0
2022-09-30,1.01,$-48.50,0.0
2022-06-30,1.2,$-49.50,0.0
2022-03-31,2.27,$-45.00,0.0
2021-12-31,2.37,$-33.00,0.0
